source,gr,gr_numeric,gr_unit,source_pdf,detected_category
Middle East,10.9%,10.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_089_p22.csv,general
Bahrain,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_089_p22.csv,general
Iraq,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_089_p22.csv,general
KSA,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_089_p22.csv,general
Kuwait,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_089_p22.csv,general
Oman,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_089_p22.csv,general
Qatar,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_089_p22.csv,general
UAE,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_089_p22.csv,general
ASEAN,-17.7%,-17.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_089_p22.csv,general
Brunei,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_089_p22.csv,general
Indonesia,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_089_p22.csv,general
Malaysia,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_089_p22.csv,general
Singapore,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_089_p22.csv,general
Thailand,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_089_p22.csv,general
Vietnam,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_089_p22.csv,general
