nan,ncr,ncr_numeric,ncr_unit,source_pdf,detected_category
,(Metropolitan Manila) 98.5%,-98.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
,Bicol Region,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
CALABARZON,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
,(Region V) 91.0%,-91.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
(Region IV-A) 100%,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
,Central Visayas,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
,(Region VII) 99.8%,-99.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
MIMAROPA,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
(Region IV-B),,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
87.8%,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
,Eastern Visayas,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
,(Region VIII) 95.9%,-95.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
Western Visayas,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
(Region VI) 96.4%,CARAGA,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
,(Region XIII) 96.4%,-96.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
Negros Island Region,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
(NIR) 87.0%,Northern,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
,Mindanao,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
Zamboanga Peninsula,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
,(Region X) 93.5%,-93.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
(Region IX) 83.3%,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
Bangsamoro,Davao Region,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
Autonomous Region in,(Region XI) 89.2%,-89.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
Muslim Mindanao,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
(BARMM) 43.2%,SOCCSKSARGEN,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
,(Region XII) 86.2%,-86.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
KEY ENERGY STATISTICS,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_112_p50.csv,general
