nan,the_capacity_that_can_be_relied_upon_to_carry,source_pdf,detected_category
Dependable,system load for a specified time interval and,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
Capacity,"period,  provide  assumed 
reserve,  and/or",final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
,meet firm power obligations.,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
,"Electrification 
is  either  done 
through  grid",final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
,"or  off-grid  connection. 
  When  a  barangay",final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
,"is  provided  with  electricity 
through  grid",final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
,"connection, it means that the distribution line",final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
,has reached the barangay proper.  It may also,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
,mean  that  almost  50.0  percent  of  potential,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
Electrification,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
,households  in  the  barangay  are  connected,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
,to  a  distribution  utility  (DU)  (i.e.  MERALCO),final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
,or  at  least  one  is  connected  to  other  DUs.,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
,Off-grid  connection  pertains  to  a  barangay,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
,having about 20 to 30 households availing the,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
,connection.,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
,Calculated  as  units  of  energy  (million  tons,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
Energy Intensity,"of  oil  equivalent,  MTOE)  per  unit  of  GDP  (in",final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
,billion pesos).,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
,"Amount  of  energy  used  per  person.  It 
is",final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
Energy Per,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
,calculated  as  total  primary  energy  demand,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
Capita,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
,(in MTOE) over population (in millions).,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_115_p53.csv,general
