lvm_gross_generationeration_per_region_and_technology_grid_in_megawattsh,nan,unnamed_2,source_pdf,detected_category
TECHNOLOGY TOTAL,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
COAL,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
OIL-BASED,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
Combined Cycle,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
Diesel,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
Gas Turbine,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
Oil Thermal,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
NATURAL GAS,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
GEOTHERMAL,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
BIOMASS,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
LFG,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
Biogas,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
"Rice, Bagasse, Napier",,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
WIND,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
SOLAR,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
HYDRO,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
TECHNOLOGY,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
COAL,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
OIL-BASED,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
Combined Cycle,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
Diesel,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
Gas Turbine,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
Oil Thermal,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
NATURAL GAS,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
GEOTHERMAL,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
BIOMASS,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
LFG,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
Biogas,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
"Rice, Bagasse, Napier",,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
WIND,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
SOLAR,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
HYDRO,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
TECHNOLOGY,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
COAL,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
OIL-BASED,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
Combined Cycle,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
Diesel,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
Gas Turbine,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
Oil Thermal,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
NATURAL GAS,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
GEOTHERMAL,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
BIOMASS,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
LFG,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
Biogas,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
"Rice, Bagasse, Napier",,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
WIND,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
SOLAR,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
HYDRO,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_001_p1.csv,oil
