naphtha,asphalt,other_petroleum_products,hydro,geothermal,solar,wind,biomass,biodiesel,bioethanol,electricity,total,biodiesel_numeric,electricity_numeric,total_numeric,source_pdf,detected_category
-,-,-,-,-,-,-,-,0.75,-,92.62,234.44,0.75,92.62,234.44,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,0.05,-,17.98,45.13,0.05,17.98,45.13,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,-,-,-,-,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,0.14,-,8.20,68.96,0.14,8.2,68.96,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,0.49,-,33.87,"1,295.06",0.49,33.87,1295.06,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,0.03,-,6.62,13.37,0.03,6.62,13.37,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,0.28,-,232.07,561.27,0.28,232.07,561.27,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,0.96,-,952.93,"1,029.60",0.96,952.93,1029.6,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,11.17,0.90,-,57.58,344.13,0.9,57.58,344.13,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,0.02,-,0.74,25.66,0.02,0.74,25.66,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,8.17,-,119.00,596.31,8.17,119.0,596.31,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,5.04,-,289.59,558.05,5.04,289.59,558.05,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,126.78,461.80,21.19,"13,548.23",126.78,21.19,13548.23,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,0.02,-,10.09,11.19,0.02,10.09,11.19,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,119.42,461.80,11.10,"12,292.32",119.42,11.1,12292.32,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,7.34,-,-,879.42,7.34,,879.42,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,-,-,-,365.29,,,365.29,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,"6,068.80",-,-,"3,543.02","10,985.08",,3543.02,10985.08,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,336.42,33.58,-,"2,410.40","5,137.87",33.58,2410.4,5137.87,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,2.75,-,288.01,438.75,2.75,288.01,438.75,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,0.54,-,213.09,244.31,0.54,213.09,244.31,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,0.51,-,133.93,163.43,0.51,133.93,163.43,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,0.03,-,67.87,69.58,0.03,67.87,69.58,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,-,-,11.30,11.30,,11.3,11.3,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,-,-,1.10,1.10,,1.1,1.1,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
-,-,-,-,-,-,-,-,2.20,-,73.82,193.35,2.2,73.82,193.35,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
"1,124.69",136.26,183.80,-,-,-,-,-,-,-,-,"1,527.54",,,1527.54,2024_philippine_energy_situationer_and_key_energy_statistics_table_025_p31.csv,oil
