unnamed_0,coal,natural_gas,condensate,crude,gasoline,kerosene,diesel,fuel_oil,lpg,jet_a_1,avgas,coal_numeric,kerosene_numeric,diesel_numeric,fuel_oil_numeric,lpg_numeric,source_pdf,detected_category
Indigenous,"8,051.68","1,878.57",198.82,67.36,-,-,-,-,-,-,-,8051.68,,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_026_p32.csv,oil
Imports (+),"18,755.26",643.85,-,"6,381.49","4,099.16",21.19,"6,879.23","1,016.38","1,726.21","1,062.93",4.32,18755.26,21.19,6879.23,1016.38,1726.21,2024_philippine_energy_situationer_and_key_energy_statistics_table_026_p32.csv,oil
Exports (-),"(3,967.10)",-,(198.82),(63.86),(11.56),-,(95.92),(39.53),-,-,-,-3967.1,,-95.92,-39.53,,2024_philippine_energy_situationer_and_key_energy_statistics_table_026_p32.csv,oil
"International Marine
Bunkers (-)",-,-,-,-,-,-,(31.15),(21.33),-,-,-,,,-31.15,-21.33,,2024_philippine_energy_situationer_and_key_energy_statistics_table_026_p32.csv,oil
"International Civil
Aviation (-)",-,-,-,-,-,-,-,-,-,"(1,620.84)",-,,,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_026_p32.csv,oil
Stock Change (+/-),114.14,-,-,31.70,(76.19),1.28,(183.97),(41.12),5.72,(35.74),(0.42),114.14,1.28,-183.97,-41.12,5.72,2024_philippine_energy_situationer_and_key_energy_statistics_table_026_p32.csv,oil
"Total Primary Energy
Supply","22,953.99","2,522.42",-,"6,416.69","4,011.41",22.47,"6,568.18",914.41,"1,731.93",(593.65),3.90,22953.99,22.47,6568.18,914.41,1731.93,2024_philippine_energy_situationer_and_key_energy_statistics_table_026_p32.csv,oil
Refinery (Crude Run),-,-,-,"(6,847.30)","1,628.31",22.13,"2,590.38",45.95,237.20,947.35,-,,22.13,2590.38,45.95,237.2,2024_philippine_energy_situationer_and_key_energy_statistics_table_026_p32.csv,oil
Power Generation,-,-,-,-,-,-,-,-,-,-,-,,,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_026_p32.csv,oil
Fuel Input (-),"(20,886.86)","(2,466.62)",-,-,-,-,(385.89),(311.22),-,-,-,-20886.86,,-385.89,-311.22,,2024_philippine_energy_situationer_and_key_energy_statistics_table_026_p32.csv,oil
Electricity Generation,"6,341.69","1,433.20",-,-,-,-,96.43,15.66,-,-,-,6341.69,,96.43,15.66,,2024_philippine_energy_situationer_and_key_energy_statistics_table_026_p32.csv,oil
"Transmission/
Distribution Loss (-)",-,-,-,-,-,-,-,-,-,-,-,,,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_026_p32.csv,oil
"Energy Sector Use &
Loss (-)",-,(55.79),-,(450.83),-,-,-,-,-,-,-,,,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_026_p32.csv,oil
