unnamed_0,2014,2015,2016,2017,2018,2019,2014_numeric,2015_numeric,2016_numeric,2017_numeric,2018_numeric,2019_numeric,source_pdf,detected_category
Industry,"6,529","6,750","7,449","7,925","7,523","7,306",6529.0,6750.0,7449.0,7925.0,7523.0,7306.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Coal,"2,261","2,218","2,677","3,008","2,411","2,217",2261.0,2218.0,2677.0,3008.0,2411.0,2217.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Natural Gas(a),77,50,65,53,59,62,77.0,50.0,65.0,53.0,59.0,62.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Oil,"1,206","1,382","1,458","1,470","1,469","1,381",1206.0,1382.0,1458.0,1470.0,1469.0,1381.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Diesel,535,587,656,750,693,754,535.0,587.0,656.0,750.0,693.0,754.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Fuel Oil,527,637,653,613,578,453,527.0,637.0,653.0,613.0,578.0,453.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
LPG,128,141,130,85,196,173,128.0,141.0,130.0,85.0,196.0,173.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Kerosene,16,18,19,22,2,2,16.0,18.0,19.0,22.0,2.0,2.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Biomass,"1,131","1,152","1,164","1,181","1,199","1,207",1131.0,1152.0,1164.0,1181.0,1199.0,1207.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Ricehull,48,49,49,50,51,51,48.0,49.0,49.0,50.0,51.0,51.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Fuelwood,170,172,173,176,179,180,170.0,172.0,173.0,176.0,179.0,180.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Bagasse,489,499,504,511,519,522,489.0,499.0,504.0,511.0,519.0,522.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Agriwaste,404,412,416,423,429,432,404.0,412.0,416.0,423.0,429.0,432.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Animal Waste,20,21,21,21,21,22,20.0,21.0,21.0,21.0,21.0,22.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Biodiesel,11,12,13,14,13,15,11.0,12.0,13.0,14.0,13.0,15.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Electricity,"1,843","1,936","2,074","2,199","2,372","2,424",1843.0,1936.0,2074.0,2199.0,2372.0,2424.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Transport,"9,133","10,557","11,425","11,824","12,239","12,698",9133.0,10557.0,11425.0,11824.0,12239.0,12698.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Natural Gas***,0.1,-,-,-,-,-,0.1,,,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Oil,"8,781.9","10,151.0","10,986.1","11,351.8","11,752.7","12,181.1",8781.9,10151.0,10986.1,11351.8,11752.7,12181.1,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Gasoline,"3,181","3,652","4,020","4,370","4,504","4,870",3181.0,3652.0,4020.0,4370.0,4504.0,4870.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Diesel,"4,839","5,841","6,156","6,195","6,452","6,479",4839.0,5841.0,6156.0,6195.0,6452.0,6479.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Fuel Oil,178,183,203,265,203,196,178.0,183.0,203.0,265.0,203.0,196.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Auto LPG(b),42,30,13,10,10,9,42.0,30.0,13.0,10.0,10.0,9.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Aviation fuel,542,446,594,512,584,626,542.0,446.0,594.0,512.0,584.0,626.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Biodiesel,96,116,121,123,127,127,96.0,116.0,121.0,123.0,127.0,127.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Bioethanol,246,281,309,339,350,380,246.0,281.0,309.0,339.0,350.0,380.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
Electricity,10,9,9,10,10,10,10.0,9.0,9.0,10.0,10.0,10.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_047_p47.csv,oil
