unnamed_0,2020,2021,2022,2023,2024,aagr,2020_numeric,2021_numeric,2022_numeric,2023_numeric,2024_numeric,aagr_numeric,aagr_unit,source_pdf,detected_category
Gasoline,"33,688","38,349","42,238","45,448","48,098",6.4%,33688.0,38349.0,42238.0,45448.0,48098.0,6.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_065_p60.csv,oil
Diesel,"60,345","65,294","68,819","68,497","72,236",3.4%,60345.0,65294.0,68819.0,68497.0,72236.0,3.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_065_p60.csv,oil
Fuel Oil,"7,303","7,047","7,912","6,924","6,605",-6.8%,7303.0,7047.0,7912.0,6924.0,6605.0,-6.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_065_p60.csv,oil
Aviation Fuel,"6,188","5,741","12,199","15,824","16,871",3.1%,6188.0,5741.0,12199.0,15824.0,16871.0,3.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_065_p60.csv,oil
LPG,"19,881","20,582","21,495","21,726","22,237",5.5%,19881.0,20582.0,21495.0,21726.0,22237.0,5.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_065_p60.csv,oil
Kerosene,537,565,450,371,332,-9.1%,537.0,565.0,450.0,371.0,332.0,-9.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_065_p60.csv,oil
Biodiesel,"1,204","1,310","1,392","1,393","1,468",3.4%,1204.0,1310.0,1392.0,1393.0,1468.0,3.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_065_p60.csv,oil
Bioethanol,"3,643","4,147","4,569","4,919","5,197",6.5%,3643.0,4147.0,4569.0,4919.0,5197.0,6.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_065_p60.csv,oil
Others**,"9,228","11,387","9,496","10,477","11,471",12.6%,9228.0,11387.0,9496.0,10477.0,11471.0,12.6,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_065_p60.csv,oil
Total,"142,017","154,422","168,571","175,580","184,515",4.0%,142017.0,154422.0,168571.0,175580.0,184515.0,4.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_065_p60.csv,oil
