abbreviations_and_acronyms_ed,unnamed_1,source_pdf,detected_category
BBL,Barrels,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
DOTr,Department of Transportation,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
GDP,Gross Domestic Product,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
GHG,Greenhouse gas,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
GVA,Gross-value added,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
GWh,Gigawatt-Hour,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
GWP,Global Warming Potential,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
ktCO2e,,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
kTOE,Thousand tons of oil equivalent,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
kWh,Kilowatt-hour,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
LRT,Light Rail Transit,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
MB,Thousand Barrels,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
MMB,Million Barrels,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
MMMT,Million Metric Tons,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
MMSCF,Million Standard Cubic Feet,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
MMT,Thousand Metric Tons,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
MRT,Metro Rail Transit,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
MTCO2e,,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
MTOE,Million tons of oil equivalent,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
MW,Megawatt,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
MWh,Megawatt-hour,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
ROM,Run of Mine,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
tCO2e,,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
TFEC,Total Final Energy Consumption,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
TOE,Tons of oil equivalent,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
TPES,Total Primary Energy Supply,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
TWh,Terra-watt Hour,2024_philippine_energy_situationer_and_key_energy_statistics_table_176_p6.csv,oil
