energy_economy_indicators,source_pdf,detected_category
ENERGY  INTENSITY.    The  country’s  overall  energy  intensity28  slightly  went  down,2024_philippine_energy_situationer_and_key_energy_statistics_table_208_p26.csv,oil
by  0.5  percent  to  3.10  TOE/MPhP  reflective  of  modest  gains  from  stronger  energy,2024_philippine_energy_situationer_and_key_energy_statistics_table_208_p26.csv,oil
"efficiency standards, technology adoption, and enforcement of regulations. Similarly,",2024_philippine_energy_situationer_and_key_energy_statistics_table_208_p26.csv,oil
"oil  intensity  registered  a  1.6  percent  decline  to  7.47  bbl/PhP  in  2024,  driven  by  EV",2024_philippine_energy_situationer_and_key_energy_statistics_table_208_p26.csv,oil
adoption and fleet modernization—and in industry through fuel switching. On the other,2024_philippine_energy_situationer_and_key_energy_statistics_table_208_p26.csv,oil
"hand, the amount of electricity use per unit of economic output rose from 5.61 Wh/PhP",2024_philippine_energy_situationer_and_key_energy_statistics_table_208_p26.csv,oil
"to 5.71 Wh/PhP due to higher consumption in energy-intensive industries, cold storage,",2024_philippine_energy_situationer_and_key_energy_statistics_table_208_p26.csv,oil
and expanding EV use. These trends underscored the inverse trend between electricity,2024_philippine_energy_situationer_and_key_energy_statistics_table_208_p26.csv,oil
"and oil intensities, as electrification led to reduced oil reliance.",2024_philippine_energy_situationer_and_key_energy_statistics_table_208_p26.csv,oil
"By sector, agriculture posted the sharpest rise in energy intensity of 10.9 percent to",2024_philippine_energy_situationer_and_key_energy_statistics_table_208_p26.csv,oil
"0.25  TOE/MPhp  in  2024  brought  about  by  increased  mechanization,  irrigation,  and",2024_philippine_energy_situationer_and_key_energy_statistics_table_208_p26.csv,oil
post-harvest  processing.  Industry  and  households  registered  intensity  reductions  of,2024_philippine_energy_situationer_and_key_energy_statistics_table_208_p26.csv,oil
"2.6 percent and 0.6 percent, respectively, while services recorded a modest 1.6 percent",2024_philippine_energy_situationer_and_key_energy_statistics_table_208_p26.csv,oil
"increase, driven by ICT, commercial, and tourism-related demand.",2024_philippine_energy_situationer_and_key_energy_statistics_table_208_p26.csv,oil
