unnamed_0,other,unnamed_0_numeric,source_pdf,detected_category
Total,Petroleum,,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
,Products,,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
234.44,-,234.44,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
45.13,-,45.13,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
-,-,,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
68.96,-,68.96,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
"1,295.06",-,1295.06,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
13.37,-,13.37,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
561.27,-,561.27,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
"1,029.60",-,1029.6,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
344.13,-,344.13,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
25.66,-,25.66,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
596.31,-,596.31,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
558.05,-,558.05,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
"13,548.23",-,13548.23,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
11.19,-,11.19,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
"12,292.32",-,12292.32,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
879.42,-,879.42,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
365.29,-,365.29,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
"10,985.08",-,10985.08,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
"5,137.87",-,5137.87,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
438.75,-,438.75,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
244.31,-,244.31,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
163.43,-,163.43,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
69.58,-,69.58,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
11.30,-,11.3,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
1.10,-,1.1,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
193.35,-,193.35,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
"1,527.54",183.80,1527.54,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
44.96,,44.96,2024_philippine_energy_situationer_and_key_energy_statistics_table_213_p30.csv,oil
