beverages,50_40,unnamed,0_04,45_22,21_92,3_20,unnamed_1,0_89,38_19,159_87,50_40_numeric,0_04_numeric,45_22_numeric,21_92_numeric,3_20_numeric,0_89_numeric,38_19_numeric,159_87_numeric,source_pdf,detected_category
Tobacco,-,-,-,0.17,0.01,3.08,-,0.00,2.31,5.59,,,0.17,0.01,3.08,0.0,2.31,5.59,2024_philippine_energy_situationer_and_key_energy_statistics_table_215_p32.csv,oil
Coco/Vegetable Oil,24.46,-,0.08,11.37,0.02,0.18,-,0.22,81.64,117.97,24.46,0.08,11.37,0.02,0.18,0.22,81.64,117.97,2024_philippine_energy_situationer_and_key_energy_statistics_table_215_p32.csv,oil
Sugar,10.95,-,1.59,19.33,0.37,0.04,403.50,0.38,31.85,468.02,10.95,1.59,19.33,0.37,0.04,0.38,31.85,468.02,2024_philippine_energy_situationer_and_key_energy_statistics_table_215_p32.csv,oil
Food Processing,263.65,-,5.85,51.27,14.29,87.24,513.49,1.01,517.87,"1,454.68",263.65,5.85,51.27,14.29,87.24,1.01,517.87,1454.68,2024_philippine_energy_situationer_and_key_energy_statistics_table_215_p32.csv,oil
Textile and leather,16.04,-,-,0.23,1.41,2.79,-,0.00,67.35,87.82,16.04,,0.23,1.41,2.79,0.0,67.35,87.82,2024_philippine_energy_situationer_and_key_energy_statistics_table_215_p32.csv,oil
Textiles/Apparel,16.04,-,-,0.23,1.41,2.79,-,0.00,67.35,87.82,16.04,,0.23,1.41,2.79,0.0,67.35,87.82,2024_philippine_energy_situationer_and_key_energy_statistics_table_215_p32.csv,oil
Wood and wood products,-,-,-,1.48,-,6.39,-,0.03,10.28,18.18,,,1.48,,6.39,0.03,10.28,18.18,2024_philippine_energy_situationer_and_key_energy_statistics_table_215_p32.csv,oil
Wood ProdFurniture,-,-,-,1.48,-,6.39,-,0.03,10.28,18.18,,,1.48,,6.39,0.03,10.28,18.18,2024_philippine_energy_situationer_and_key_energy_statistics_table_215_p32.csv,oil
"Pulp, paper and print",202.22,-,0.01,5.61,1.49,1.26,-,0.11,67.37,278.07,202.22,0.01,5.61,1.49,1.26,0.11,67.37,278.07,2024_philippine_energy_situationer_and_key_energy_statistics_table_215_p32.csv,oil
Paper Prod/Printing,202.22,-,0.01,5.61,1.49,1.26,-,0.11,67.37,278.07,202.22,0.01,5.61,1.49,1.26,0.11,67.37,278.07,2024_philippine_energy_situationer_and_key_energy_statistics_table_215_p32.csv,oil
