in_mb,unnamed_1,unnamed_1_numeric,unnamed_1_unit,source_pdf,detected_category
Fuel,2019,2019.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
Diesel,"49,462",49462.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
Gasoline,"18,726",18726.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
LPG,"15,957",15957.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
IFO/Fuel Oil,"5,061",5061.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
Jet Fuel,"11,708",11708.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
Kerosene,134,134.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
Others**,"7,889",7889.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
Total,"108,936",108936.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
Fuel,AAGR*,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
Diesel,5.9%,5.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
Gasoline,9.0%,9.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
LPG,7.7%,7.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
IFO/Fuel Oil,3.0%,3.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
Jet Fuel,3.1%,3.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
Kerosene,-9.3%,-9.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
Others**,11.6%,11.6,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
Total,6.8%,6.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
*average annual growth rate,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_231_p54.csv,oil
