mb,unnamed_1,unnamed_1_numeric,source_pdf,detected_category
Source,2019,2019.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Industry,"10,732",10732.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Kerosene,15,15.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Kerosene,15,15.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
LPG,"1,872",1872.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
LPG,"1,872",1872.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Diesel,"5,598",5598.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Diesel,"5,598",5598.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Fuel Oil,"3,136",3136.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Biodiesel,"3,136",3136.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Transport,"112,365",112365.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Biodiesel,112,112.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Gasoline,"39,504",39504.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Transport,"112,365",112365.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Diesel,"48,205",48205.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Gasoline,"39,504",39504.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Fuel Oil,"1,637",1637.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Diesel,"48,205",48205.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Aviation Fuel,"17,674",17674.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Fuel Oil,"1,637",1637.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Bioethanol,"4,276",4276.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
Aviation Fuel,"17,674",17674.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_235_p58.csv,oil
