nan,nan_1,nan_1_numeric,nan_1_unit,source_pdf,detected_category
Industry,"10,732",10732.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Kerosene,-2.7%,-2.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Kerosene,15,15.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
LPG,3.9%,3.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
LPG,"1,872",1872.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Diesel,6.4%,6.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Diesel,"5,598",5598.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Fuel Oil,-5.6%,-5.6,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Biodiesel,"3,136",3136.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Transport,4.2%,4.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Biodiesel,112,112.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Gasoline,6.4%,6.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Transport,"112,365",112365.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Diesel,2.9%,2.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Gasoline,"39,504",39504.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Fuel Oil,0.1%,0.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Diesel,"48,205",48205.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Aviation Fuel,3.1%,3.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Fuel Oil,-100.0%,-100.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Bioethanol,6.5%,6.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Aviation Fuel,"17,674",17674.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Biodiesel,2.9%,2.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
LPG,95,95.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Households,5.0%,5.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Bioethanol,"4,276",4276.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
LPG,5.7%,5.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
"Biodiesel
Kerosene","974
-10.7%",,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Households,"14,014",14014.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
LPG,6.9%,6.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
LPG,"13,445",13445.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Diesel,4.8%,4.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Kerosene,569,569.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Fuel Oil,2.7%,2.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Services,"19,386",19386.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Biodiesel,5.5%,5.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
"LPG
Agriculture","5,370
-1.5%",,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Gasoline,"12,668",12668.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Kerosene,-33.5%,-33.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Fuel Oil,"1,095",1095.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Diesel,-1.5%,-1.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Biodiesel,253,253.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Fuel Oil,-6.8%,-6.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Power Generation,"5,728",5728.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Biodiesel,-2.0%,-2.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
"Diesel
Power Generation","3,015",3015.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Fuel Oil,"2,646",2646.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Fuel Oil,-12.9%,-12.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Biodiesel,67,67.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Biodiesel,2.3%,2.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Non-Energy Use,"7,851",7851.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Non-Energy Use,12.6%,12.6,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
Total,"171,817",171817.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
*average annual growth rate,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_236_p59.csv,oil
