unnamed_0,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Indigenous Energy,"30,534","31,042",1.7%,30534.0,31042.0,1.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Oil,266,241,-9.4%,266.0,241.0,-9.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Natural Gas,"1,879","1,638",-12.8%,1879.0,1638.0,-12.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Coal,"8,052","8,401",4.3%,8052.0,8401.0,4.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Hydro,"2,561","2,716",6.0%,2561.0,2716.0,6.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Geothermal,"9,226","9,277",0.6%,9226.0,9277.0,0.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Biomass,"7,819","7,899",1.0%,7819.0,7899.0,1.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Wind,112,107,-5.3%,112.0,107.0,-5.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Solar,219,328,49.8%,219.0,328.0,49.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Biodiesel,186,219,17.6%,186.0,219.0,17.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Bioethanol,214,217,1.2%,214.0,217.0,1.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Imported Energy,"35,111","38,000",8.2%,35111.0,38000.0,8.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Oil,"19,346","20,136",4.1%,19346.0,20136.0,4.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Coal,"14,902","16,231",8.9%,14902.0,16231.0,8.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Bioethanol,219,218,-0.4%,219.0,218.0,-0.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Coal,644,"1,415",119.8%,644.0,1415.0,119.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Total Energy,"65,645","69,041",5.2%,65645.0,69041.0,5.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Renewable Energy (RE),"20,556","20,979",2.1%,20556.0,20979.0,2.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Green Energy (RE + Natural Gas),"23,078","24,032",4.1%,23078.0,24032.0,4.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
Self Sufficiency (%),47,45,,47.0,45.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_010_p12.csv,oil
