nan,gr,gr_numeric,gr_unit,source_pdf,detected_category
Industry,-6.6%,-6.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_092_p25.csv,oil
Kerosene,-20.0%,-20.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_092_p25.csv,oil
LPG,-5.6%,-5.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_092_p25.csv,oil
Diesel,-8.2%,-8.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_092_p25.csv,oil
Fuel Oil,-0.3%,-0.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_092_p25.csv,oil
Biodiesel,-8.8%,-8.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_092_p25.csv,oil
Transport,5.7%,5.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_092_p25.csv,oil
Gasoline,6.0%,6.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_092_p25.csv,oil
Diesel,5.2%,5.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_092_p25.csv,oil
Fuel Oil,2.6%,2.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_092_p25.csv,oil
Aviation Fuel,6.6%,6.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_092_p25.csv,oil
LPG,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_092_p25.csv,oil
Bioethanol,5.6%,5.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_092_p25.csv,oil
Biodiesel,5.1%,5.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_092_p25.csv,oil
Households,1.8%,1.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_092_p25.csv,oil
LPG,1.9%,1.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_092_p25.csv,oil
Kerosene,-6.2%,-6.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_092_p25.csv,oil
