visayas,2014,2015,2016,2017,2018,2019,2014_numeric,2015_numeric,2016_numeric,2017_numeric,2018_numeric,2019_numeric,2019_unit,source_pdf,detected_category
Coal,"4,449","4,968","5,270","6,624","6,785","7,962",4449.0,4968.0,5270.0,6624.0,6785.0,7962.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Oil,766,672,637,541,353,524,766.0,672.0,637.0,541.0,353.0,524.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Natural Gas (a),4,-,-,-,-,-,4.0,,,,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Renewable Energy,"5,794","6,530","7,047","6,889","7,129","7,573",5794.0,6530.0,7047.0,6889.0,7129.0,7573.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Geothermal,"5,627","6,105","5,974","5,564","5,737","6,278",5627.0,6105.0,5974.0,5564.0,5737.0,6278.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Hydro,35,38,64,90,73,57,35.0,38.0,64.0,90.0,73.0,57.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Biomass,117,159,276,414,439,356,117.0,159.0,276.0,414.0,439.0,356.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Solar,15,71,525,627,658,665,15.0,71.0,525.0,627.0,658.0,665.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Wind (b),-,157,209,194,222,218,,157.0,209.0,194.0,222.0,218.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Total,"11,014","12,170","12,955","14,054","14,266","16,060",11014.0,12170.0,12955.0,14054.0,14266.0,16060.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Visayas,2020,2021,2022,2023,2024,AAGR*,2020.0,2021.0,2022.0,2023.0,2024.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Coal,"7,696","8,999","8,501","10,401","8,571",7%,7696.0,8999.0,8501.0,10401.0,8571.0,7.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Oil,298,468,563,473,519,-4%,298.0,468.0,563.0,473.0,519.0,-4.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Natural Gas (a),-,-,-,-,-,-,,,,,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Renewable Energy,"7,491","6,801","7,159","7,289","7,009",2%,7491.0,6801.0,7159.0,7289.0,7009.0,2.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Geothermal,"6,205","5,535","5,813","5,740","5,408",-0.4%,6205.0,5535.0,5813.0,5740.0,5408.0,-0.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Hydro,65,89,39,141,162,16%,65.0,89.0,39.0,141.0,162.0,16.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Biomass,374,350,517,488,514,16%,374.0,350.0,517.0,488.0,514.0,16.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Solar,676,652,614,727,720,47%,676.0,652.0,614.0,727.0,720.0,47.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Wind (b),171,174,176,194,205,3%,171.0,174.0,176.0,194.0,205.0,3.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
Total,"15,485","16,268","16,222","18,163","16,099",4%,15485.0,16268.0,16222.0,18163.0,16099.0,4.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_100_p70.csv,solar
