unnamed_0,2014,2015,2016,2017,2018,2019,2014_numeric,2015_numeric,2016_numeric,2017_numeric,2018_numeric,2019_numeric,2019_unit,source_pdf,detected_category
Total Installed Capacity,"17,944","18,765","21,423","22,728","23,815","25,531",17944.0,18765.0,21423.0,22728.0,23815.0,25531.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Coal,"5,708","5,963","7,419","8,049","8,844","10,417",5708.0,5963.0,7419.0,8049.0,8844.0,10417.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Oil,"3,476","3,610","3,616","4,153","4,292","4,262",3476.0,3610.0,3616.0,4153.0,4292.0,4262.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Natural Gas,"2,862","2,862","3,431","3,447","3,453","3,453",2862.0,2862.0,3431.0,3447.0,3453.0,3453.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Renewable Energy,"5,898","6,330","6,958","7,079","7,227","7,399",5898.0,6330.0,6958.0,7079.0,7227.0,7399.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Geothermal,"1,918","1,917","1,916","1,916","1,944","1,928",1918.0,1917.0,1916.0,1916.0,1944.0,1928.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Hydro,"3,543","3,600","3,618","3,627","3,701","3,760",3543.0,3600.0,3618.0,3627.0,3701.0,3760.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Wind,283,427,427,427,427,427,283.0,427.0,427.0,427.0,427.0,427.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Solar (a),23,165,765,885,896,921,23.0,165.0,765.0,885.0,896.0,921.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Biomass,131,221,233,224,258,363,131.0,221.0,233.0,224.0,258.0,363.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
,2020,2021,2022,2023,2024,AAGR*,2020.0,2021.0,2022.0,2023.0,2024.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Total Installed Capacity,"26,286","26,882","28,258","28,291","29,706",5%,26286.0,26882.0,28258.0,28291.0,29706.0,5.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Coal,"10,944","11,669","12,428","12,406","13,006",9%,10944.0,11669.0,12428.0,12406.0,13006.0,9.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Oil,"4,237","3,847","3,834","3,737","3,448",0%,4237.0,3847.0,3834.0,3737.0,3448.0,0.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Natural Gas,"3,453","3,453","3,732","3,732","3,732",3%,3453.0,3453.0,3732.0,3732.0,3732.0,3.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Renewable Energy,"7,653","7,914","8,264","8,417","9,520",5%,7653.0,7914.0,8264.0,8417.0,9520.0,5.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Geothermal,"1,928","1,928","1,952","1,952","1,952",0%,1928.0,1928.0,1952.0,1952.0,1952.0,0.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Hydro,"3,779","3,752","3,745","3,799","3,836",1%,3779.0,3752.0,3745.0,3799.0,3836.0,1.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Wind,443,427,427,427,427,4%,443.0,427.0,427.0,427.0,427.0,4.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Solar (a),"1,019","1,317","1,530","1,653","2,710",17%,1019.0,1317.0,1530.0,1653.0,2710.0,17.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
Biomass,484,489,611,585,595,16%,484.0,489.0,611.0,585.0,595.0,16.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_246_p69.csv,solar
