in_gwh,unnamed_1,unnamed_1_numeric,unnamed_1_unit,source_pdf,detected_category
Luzon,2019,2019.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Coal,"40,508",40508.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Oil,"2,674",2674.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Natural Gas,"22,354",22354.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Renewable Energy,"10,640",10640.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Geothermal,"3,647",3647.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Hydro,"5,084",5084.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Biomass,592,592.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Solar (a),493,493.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Wind,824,824.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Total,"76,177",76177.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Luzon,AAGR*,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Coal,8%,8.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Oil,-13%,-13.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Natural Gas,0%,0.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Renewable Energy,6%,6.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Geothermal,2%,2.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Hydro,2.0%,2.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Biomass,26%,26.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Solar (a),52%,52.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Wind,21%,21.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Total,5%,5.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
in GWh,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Visayas,2019,2019.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Coal,"7,962",7962.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Oil,524,524.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Natural Gas (a),-,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Renewable Energy,"7,573",7573.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Geothermal,"6,278",6278.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Hydro,57,57.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Biomass,356,356.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Solar,665,665.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Wind (b),218,218.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Total,"16,060",16060.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Visayas,AAGR*,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Coal,7%,7.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Oil,-4%,-4.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Natural Gas (a),-,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Renewable Energy,2%,2.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Geothermal,-0.4%,-0.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Hydro,16%,16.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Biomass,16%,16.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Solar,47%,47.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Wind (b),3%,3.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
Total,4%,4.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_247_p70.csv,solar
