unnamed_0,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Total Installed Capacity,"28,291","29,706",5.0%,28291.0,29706.0,5.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_044_p43.csv,solar
Coal,"12,406","13,006",4.8%,12406.0,13006.0,4.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_044_p43.csv,solar
Oil,"3,737","3,448",-7.7%,3737.0,3448.0,-7.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_044_p43.csv,solar
Natural Gas,"3,732","3,732",0.0%,3732.0,3732.0,0.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_044_p43.csv,solar
Renewable Energy,"8,417","9,520",13.1%,8417.0,9520.0,13.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_044_p43.csv,solar
Geothermal,"1,952","1,952",0.0%,1952.0,1952.0,0.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_044_p43.csv,solar
Hydro,"3,799","3,836",1.0%,3799.0,3836.0,1.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_044_p43.csv,solar
Wind,427,427,0.0%,427.0,427.0,0.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_044_p43.csv,solar
Solar,"1,653","2,710",63.9%,1653.0,2710.0,63.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_044_p43.csv,solar
Biomass,585,595,1.7%,585.0,595.0,1.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_044_p43.csv,solar
