luzon,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Coal,"53,072","57,070",8%,53072.0,57070.0,8.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_045_p44.csv,solar
Oil,708,603,-15%,708.0,603.0,-15.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_045_p44.csv,solar
Natural Gas,"16,668","18,047",8%,16668.0,18047.0,8.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_045_p44.csv,solar
Renewable Energy,"12,842","14,550",13%,12842.0,14550.0,13.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_045_p44.csv,solar
Geothermal,"4,286","4,657",9%,4286.0,4657.0,9.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_045_p44.csv,solar
Hydro,"5,080","5,308",4.5%,5080.0,5308.0,4.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_045_p44.csv,solar
Biomass,684,645,-6%,684.0,645.0,-6.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_045_p44.csv,solar
Solar,"1,678","2,905",73%,1678.0,2905.0,73.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_045_p44.csv,solar
Wind,"1,114","1,034",-7%,1114.0,1034.0,-7.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_045_p44.csv,solar
Total,"83,290","90,269",8%,83290.0,90269.0,8.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_045_p44.csv,solar
