visayas,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Coal,"10,401","8,571",-18%,10401.0,8571.0,-18.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_046_p45.csv,solar
Oil,473,519,10%,473.0,519.0,10.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_046_p45.csv,solar
Natural Gas,-,-,,,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_046_p45.csv,solar
Renewable Energy,"7,289","7,009",-4%,7289.0,7009.0,-4.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_046_p45.csv,solar
Geothermal,"5,740","5,408",-5.8%,5740.0,5408.0,-5.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_046_p45.csv,solar
Hydro,141,162,16%,141.0,162.0,16.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_046_p45.csv,solar
Biomass,488,514,5%,488.0,514.0,5.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_046_p45.csv,solar
Solar,727,720,-1%,727.0,720.0,-1.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_046_p45.csv,solar
Wind,194,205,5%,194.0,205.0,5.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_046_p45.csv,solar
Total,"18,163","16,099",-11%,18163.0,16099.0,-11.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_046_p45.csv,solar
