mindanao,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Coal,"10,281","13,718",33%,10281.0,13718.0,33.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_047_p46.csv,solar
Oil,123,220,79%,123.0,220.0,79.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_047_p46.csv,solar
Natural Gas,-,-,,,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_047_p46.csv,solar
Renewable Energy,"6,147","6,634",7.9%,6147.0,6634.0,7.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_047_p46.csv,solar
Geothermal,704,724,2.8%,704.0,724.0,2.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_047_p46.csv,solar
Hydro,"5,067","5,438",7.3%,5067.0,5438.0,7.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_047_p46.csv,solar
Biomass,237,286,21%,237.0,286.0,21.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_047_p46.csv,solar
Solar,139,186,34%,139.0,186.0,34.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_047_p46.csv,solar
Wind,-,-,,,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_047_p46.csv,solar
Total,"16,551","20,572",24%,16551.0,20572.0,24.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_047_p46.csv,solar
