,Coal,"Natural
Gas",Condensate,Crude,Gasoline,Kerosene,Diesel,Fuel Oil,LPG,Jet A-1,Avgas
Indigenous,"8,051.68","1,878.57",198.82,67.36,-,-,-,-,-,-,-
Imports (+),"18,755.26",643.85,-,"6,381.49","4,099.16",21.19,"6,879.23","1,016.38","1,726.21","1,062.93",4.32
Exports (-),"(3,967.10)",-,(198.82),(63.86),(11.56),-,(95.92),(39.53),-,-,-
"International Marine
Bunkers (-)",-,-,-,-,-,-,(31.15),(21.33),-,-,-
"International Civil
Aviation (-)",-,-,-,-,-,-,-,-,-,"(1,620.84)",-
Stock Change (+/-),114.14,-,-,31.70,(76.19),1.28,(183.97),(41.12),5.72,(35.74),(0.42)
"Total Primary Energy
Supply","22,953.99","2,522.42",-,"6,416.69","4,011.41",22.47,"6,568.18",914.41,"1,731.93",(593.65),3.90
Refinery (Crude Run),-,-,-,"(6,847.30)","1,628.31",22.13,"2,590.38",45.95,237.20,947.35,-
Power Generation,-,-,-,-,-,-,-,-,-,-,-
Fuel Input (-),"(20,886.86)","(2,466.62)",-,-,-,-,(385.89),(311.22),-,-,-
Electricity Generation,"6,341.69","1,433.20",-,-,-,-,96.43,15.66,-,-,-
"Transmission/
Distribution Loss (-)",-,-,-,-,-,-,-,-,-,-,-
"Energy Sector Use &
Loss (-)",-,(55.79),-,(450.83),-,-,-,-,-,-,-
Net Domestic Supply,"2,067.13",-,-,(881.4),"5,639.72",44.6,"8,772.7",649.1,"1,969.1",353.7,3.9
Statistical Difference,-,-,-,-,39.44,(2.54),(36.86),(18.17),(34.03),(31.04),0.01
% Statistical Difference,-,-,-,-,,(5.69),(0.42),(2.80),(1.73),(8.78),0.30
"Total Final Energy
Consumption","2,067.13",-,-,-,"5,600.28",47.13,"8,809.53",667.32,"2,003.16",384.74,3.89
Industry,"1,987.07",-,-,-,-,15.26,"1,085.14",296.45,198.63,-,-
Manufacturing,"1,987.07",-,-,-,-,15.11,337.33,245.77,193.09,-,-
"Food, beverages and
tobaeco",349.46,-,-,-,-,7.57,127.37,36.62,93.75,-,-
Beverages,50.40,-,-,-,-,0.04,45.22,21.92,3.20,-,-
Tobacco,-,-,-,-,-,-,0.17,0.01,3.08,-,-
Coco/Vegetable Oil,24.46,-,-,-,-,0.08,11.37,0.02,0.18,-,-
Sugar,10.95,-,-,-,-,1.59,19.33,0.37,0.04,-,-
Food Processing,263.65,-,-,-,-,5.85,51.27,14.29,87.24,-,-
Textile and leather,16.04,-,-,-,-,-,0.23,1.41,2.79,-,-
Textiles/Apparel,16.04,-,-,-,-,-,0.23,1.41,2.79,-,-
Wood and wood products,-,-,-,-,-,-,1.48,-,6.39,-,-
Wood ProdFurniture,-,-,-,-,-,-,1.48,-,6.39,-,-
"Pulp, paper and print",202.22,-,-,-,-,0.01,5.61,1.49,1.26,-,-
Paper Prod/Printing,202.22,-,-,-,-,0.01,5.61,1.49,1.26,-,-
