,2014,2015,2016,2017,2018,2019
In MB,,,,,,
Total Oil,"3,078.68","2,409.75","2,013.56","1,586.61","1,263.53",776.09
Nido(a),79.11,71.15,53.65,56.16,51.74,20.63
Matinloc(b),69.83,70.72,72.75,67.49,43.05,1.54
North Matinloc(c),8.87,8.36,9.12,2.10,-,-
Galoc,"2,920.88","2,259.52","1,878.04","1,460.85","1,166.76",744.45
Alegria(d),-,-,-,-,1.98,9.47
,,,,,,
Total Condensate,"3,078.68","2,409.75","2,013.56","1,586.61","1,263.53",776.09
Galoc,"2,920.88","2,259.52","1,878.04","1,460.85","1,166.76",744.45
,,,,,,
in MMSCF,,,,,,
Total Gas,"130,351","122,541","140,398","138,497","154,622","155,690"
Libertad(e),35,15,-,-,-,-
Malampaya Gas,"130,316","122,527","140,398","138,497","154,622","155,690"
