,2020,2021,2022,2023,2024,AAGR*
In MB,,,,,,
Total Oil,700.12,632.29,558.28,501.20,447.86,-17.5%
Nido(a),-,-,-,-,-,-23.6%
Matinloc(b),-,-,-,-,-,-53.4%
North Matinloc(c),-,-,-,-,-,-38.1%
Galoc,695.25,630.25,556.90,501.14,447.86,-17.1%
Alegria(d),4.87,2.04,1.37,0.06,-,-49.7%
,,,,,,
Total Condensate,"3,469.45","2,936.44","2,706.11","1,904.42","1,733.44",-8.4%
Galoc,"3,469.45","2,936.44","2,706.11","1,904.42","1,733.44",-8.4%
,,,,,,
in MMSCF,,,,,,
Total Gas,"141,191","121,089","112,172","80,660","70,338",-6.7%
Libertad(e),-,-,-,-,-,-58.2%
Malampaya Gas,"141,191","121,089","112,172","80,660","70,338",-6.0%
