Source,2014,2015,2016,2017,2018,2019
Middle East,"1,966","1,678","6,280","5,272","11,521","8,436"
Bahrain,-,-,-,-,-,-
Iran,-,-,1,3,1,5
Iraq,-,-,-,-,163,-
KSA,551,"1,085","1,402","1,081","1,204","1,242"
Kuwait,406,228,692,"1,150",443,"1,323"
Oman,-,135,-,90,3,176
Qatar,450,-,"1,490","1,263","1,265",657
UAE,559,231,"2,695","1,684","8,442","5,033"
ASEAN,"16,523","19,979","19,556","19,732","18,321","24,697"
Brunei,-,-,-,-,-,222
Indonesia,697,228,"1,610","1,186",539,590
Malaysia,"1,758","7,523","4,572","7,557","7,661","9,161"
Philippines,805,-,-,-,-,-
Singapore,"9,982","10,323","12,147","10,273","7,910","12,551"
Thailand,"2,473","1,272",36,377,930,266
Vietnam,808,633,"1,192",340,"1,281","1,907"
OTHER ASIA,"50,335","53,160","58,342","67,305","64,491","73,156"
China,"10,504","10,938","24,997","32,460","29,421","45,472"
Hong Kong,1,-,51,158,-,0
India,"1,064","3,258","2,763","4,686","2,682","3,219"
Japan,368,"1,824","4,701","4,261","2,673","1,373"
Russia,-,605,-,-,-,-
South Korea,"21,229","17,886","16,233","22,521","28,083","22,701"
Sri Lanka,-,-,-,-,271,-
Taiwan,"16,993","17,674","9,204","2,216","1,028",391
Pakistan,177,975,393,"1,002",333,-
OTHERS**,834,"3,117","1,930","5,106","3,240","2,646"
Total,"69,658","77,934","86,108","97,415","97,573","108,936"
