Luzon,2014,2015,2016,2017,2018,2019
Coal,"27,346","29,680","33,143","33,953","37,362","40,508"
Oil,"2,342","1,845","2,562","2,379","2,188","2,674"
Natural Gas,"18,686","18,878","19,854","20,547","21,334","22,354"
Renewable Energy,"8,392","9,711","10,938","11,633","11,845","10,640"
Geothermal,"3,817","4,096","4,227","3,910","3,871","3,647"
Hydro,"4,357","4,769","5,011","5,730","5,945","5,084"
Biomass,65,187,439,599,594,592
Solar (a),-,66,495,496,503,493
Wind,152,592,767,899,931,824
Total,"56,766","60,113","66,498","68,512","72,728","76,177"
Luzon,2020,2021,2022,2023,2024,AAGR*
Coal,"40,576","43,133","48,626","53,072","57,070",8%
Oil,"1,804",996,"1,507",708,603,-13%
Natural Gas,"19,497","19,060","17,884","16,668","18,047",0%
Renewable Energy,"10,542","12,053","11,803","12,842","14,550",6%
Geothermal,"3,808","3,838","3,921","4,286","4,657",2%
Hydro,"4,510","5,412","5,239","5,080","5,308",2.0%
Biomass,780,988,691,684,645,26%
Solar (a),588,721,"1,099","1,678","2,905",52%
Wind,855,"1,095",854,"1,114","1,034",21%
Total,"72,419","75,243","79,821","83,290","90,269",5%
