Visayas,2014,2015,2016,2017,2018,2019
Coal,"4,449","4,968","5,270","6,624","6,785","7,962"
Oil,766,672,637,541,353,524
Natural Gas (a),4,-,-,-,-,-
Renewable Energy,"5,794","6,530","7,047","6,889","7,129","7,573"
Geothermal,"5,627","6,105","5,974","5,564","5,737","6,278"
Hydro,35,38,64,90,73,57
Biomass,117,159,276,414,439,356
Solar,15,71,525,627,658,665
Wind (b),-,157,209,194,222,218
Total,"11,014","12,170","12,955","14,054","14,266","16,060"
Visayas,2020,2021,2022,2023,2024,AAGR*
Coal,"7,696","8,999","8,501","10,401","8,571",7%
Oil,298,468,563,473,519,-4%
Natural Gas (a),-,-,-,-,-,-
Renewable Energy,"7,491","6,801","7,159","7,289","7,009",2%
Geothermal,"6,205","5,535","5,813","5,740","5,408",-0.4%
Hydro,65,89,39,141,162,16%
Biomass,374,350,517,488,514,16%
Solar,676,652,614,727,720,47%
Wind (b),171,174,176,194,205,3%
Total,"15,485","16,268","16,222","18,163","16,099",4%
