Mindanao,2014,2015,2016,2017,2018,2019
Coal,"1,258","2,038","4,890","6,271","7,785","9,420"
Oil,"2,599","3,369","2,462",867,633,554
Natural Gas,-,-,-,-,-,-
Renewable Energy,"5,624","4,723","3,994","4,666","4,352","3,831"
Geothermal,864,842,869,797,826,766
Hydro,"4,745","3,858","3,036","3,791","3,366","2,885"
Biomass,14,21,11,-,72,93
Solar (a),1,2,77,78,88,87
Wind,0,-,-,-,-,-
Total,"9,481","10,130","11,345","11,804","12,770","13,805"
Mindanao,2020,2021,2022,2023,2024,AAGR*
Coal,"9,904","9,920","9,303","10,281","13,718",27%
Oil,372,152,449,123,220,-22%
Natural Gas,-,-,-,-,-,-
Renewable Energy,"3,576","4,532","5,721","6,147","6,634",1.7%
Geothermal,744,643,690,704,724,-1.8%
Hydro,"2,617","3,684","4,807","5,067","5,438",1.4%
Biomass,107,107,114,237,286,35%
Solar (a),108,97,110,139,186,12%
Wind,-,-,-,-,-,-
Total,"13,852","14,604","15,473","16,551","20,572",8%
