Naphtha,Asphalt,"Other 
Petroleum 
Products",Hydro,Geothermal,Solar,Wind,Biomass,Biodiesel,Bioethanol,Electricity,Total
-,-,-,-,-,-,-,-,0.83,-,104.98,263.86
-,-,-,-,-,-,-,-,0.79,-,87.91,215.69
-,-,-,-,-,-,-,-,0.05,-,17.06,48.17
-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,0.83,-,104.98,263.86
-,-,-,-,-,-,-,-,0.14,-,7.79,65.17
-,-,-,-,-,-,-,-,0.57,-,32.15,991.20
-,-,-,-,-,-,-,-,0.03,-,6.29,19.72
-,-,-,-,-,-,-,-,0.83,-,104.98,263.86
-,-,-,-,-,-,-,-,0.30,-,220.26,568.02
-,-,-,-,-,-,-,-,1.40,-,904.44,"1,015.08"
-,-,-,-,-,-,-,-,1.40,-,904.44,"1,015.08"
-,-,-,-,-,-,-,11.12,0.72,-,55.35,348.01
-,-,-,-,-,-,-,11.12,0.69,-,54.65,328.73
-,-,-,-,-,-,-,-,0.03,-,0.70,19.28
-,-,-,-,-,-,-,-,7.83,-,112.94,566.80
-,-,-,-,-,-,-,-,6.93,-,274.85,639.93
-,-,-,-,-,-,-,-,120.58,437.14,13.21,"12,880.05"
-,-,-,-,-,-,-,-,0.04,-,9.76,11.93
-,-,-,-,-,-,-,-,114.25,437.14,3.45,"11,593.71"
-,-,-,-,-,-,-,-,6.29,-,-,885.78
-,-,-,-,-,-,-,-,-,-,-,388.63
-,-,-,-,-,-,-,"6,007.79",-,-,"3,178.67","10,536.01"
-,-,-,-,-,-,-,334.12,29.19,-,"2,255.86","4,736.50"
-,-,-,-,-,-,-,-,2.63,-,254.35,401.57
-,-,-,-,-,-,-,-,0.63,-,188.19,229.75
-,-,-,-,-,-,-,-,0.59,-,118.27,157.91
-,-,-,-,-,-,-,-,0.04,-,59.94,61.86
-,-,-,-,-,-,-,-,-,-,9.98,9.98
-,-,-,-,-,-,-,-,-,-,0.97,0.97
-,-,-,-,-,-,-,-,2.01,-,65.19,170.84
852.26,112.55,351.79,-,-,-,-,-,-,-,-,"1,396.67"
,,,,,,,,,,,46.51
