Manufacturing,"1,987.07",-,15.11,337.33,245.77,193.09,928.12,6.66,"2,148.11","5,861.26"
"Food, beverages and",,,,,,,,,,
,349.46,-,7.57,127.37,36.62,93.75,917.00,2.51,671.85,"2,206.13"
tobaeco,,,,,,,,,,
Beverages,50.40,-,0.04,45.22,21.92,3.20,-,0.89,38.19,159.87
Tobacco,-,-,-,0.17,0.01,3.08,-,0.00,2.31,5.59
Coco/Vegetable Oil,24.46,-,0.08,11.37,0.02,0.18,-,0.22,81.64,117.97
Sugar,10.95,-,1.59,19.33,0.37,0.04,403.50,0.38,31.85,468.02
Food Processing,263.65,-,5.85,51.27,14.29,87.24,513.49,1.01,517.87,"1,454.68"
Textile and leather,16.04,-,-,0.23,1.41,2.79,-,0.00,67.35,87.82
Textiles/Apparel,16.04,-,-,0.23,1.41,2.79,-,0.00,67.35,87.82
Wood and wood products,-,-,-,1.48,-,6.39,-,0.03,10.28,18.18
Wood ProdFurniture,-,-,-,1.48,-,6.39,-,0.03,10.28,18.18
"Pulp, paper and print",202.22,-,0.01,5.61,1.49,1.26,-,0.11,67.37,278.07
Paper Prod/Printing,202.22,-,0.01,5.61,1.49,1.26,-,0.11,67.37,278.07
