In kTOE,
,2019
Indigenous Energy,"30,906"
Oil,523
Natural Gas,"3,626"
Coal,"7,258"
Hydro,"1,998"
Geothermal,"9,192"
Biomass,"7,736"
Wind,90
Solar(a),107
Biodiesel,178
Bioethanol,199
Net Imported Energy,"28,414"
Oil,"18,000"
Coal,"10,224"
Bioethanol,190
TPES,"59,320"
Renewable Energy (RE),"19,690"
Green Energy (RE + Natural Gas),"23,316"
Self Sufficiency (%),52
,AAGR*
Indigenous Energy,1.6%
Oil,-11.8%
Natural Gas,-6.0%
Coal,7.7%
Hydro,1.8%
Geothermal,0.5%
Biomass,0.7%
Wind,23.3%
Solar(a),44.5%
Biodiesel,5.0%
Bioethanol,12.5%
Net Imported Energy,6.7%
Oil,4.5%
Coal,9.4%
Bioethanol,1.8%
Natural Gas(b),119.8%
TPES,4.0%
Renewable Energy (RE),1.1%
Green Energy (RE + Natural Gas),0.9%
Self Sufficiency (%),
*average annual growth rate,
