,Total Primary Energy Supply (TPES) and Self-Sufficiency Level
,
2019,2014
"30,906","26,606"
523,849
"3,626","3,036"
"7,258","4,012"
"1,998","2,275"
"9,192","8,863"
"7,736","7,356"
90,13
107,1
178,134
199,66
"28,414","19,833"
"18,000","13,021"
"10,224","6,630"
190,182
"59,320","46,439"
"19,690","18,891"
"23,316","21,927"
52,57
AAGR*,2020
1.6%,"29,676"
-11.8%,456
-6.0%,"3,288"
7.7%,"6,836"
1.8%,"1,790"
0.5%,"9,249"
0.7%,"7,563"
23.3%,88
44.5%,118
5.0%,131
12.5%,155
6.7%,"26,827"
4.5%,"15,922"
9.4%,"10,710"
1.8%,194
119.8%,-
4.0%,"56,502"
1.1%,"19,290"
0.9%,"22,578"
,53
,
