MB,
Source,2019
Industry,"10,732"
Kerosene,15
Kerosene,15
LPG,"1,872"
LPG,"1,872"
Diesel,"5,598"
Diesel,"5,598"
Fuel Oil,"3,136"
Biodiesel,"3,136"
Transport,"112,365"
Biodiesel,112
Gasoline,"39,504"
Transport,"112,365"
Diesel,"48,205"
Gasoline,"39,504"
Fuel Oil,"1,637"
Diesel,"48,205"
Aviation Fuel,"17,674"
Fuel Oil,"1,637"
Bioethanol,"4,276"
Aviation Fuel,"17,674"
Biodiesel,974
LPG,95
Households,"14,014"
Bioethanol,"4,276"
LPG,"13,445"
"Biodiesel
Kerosene","974
569"
Households,"14,014"
LPG,"5,370"
LPG,"13,445"
Diesel,"12,668"
Kerosene,569
Fuel Oil,"1,095"
Services,"19,386"
Biodiesel,253
"LPG
Agriculture","5,370
1,741"
Gasoline,"12,668"
Kerosene,3
Fuel Oil,"1,095"
Diesel,"1,615"
Biodiesel,253
Fuel Oil,17
Power Generation,"5,728"
Biodiesel,32
"Diesel
Power Generation","3,015"
Fuel Oil,"2,646"
Fuel Oil,"2,646"
Biodiesel,67
Biodiesel,67
Non-Energy Use,"7,851"
Non-Energy Use,"7,851"
Total,"171,817"
