Region,"""Potential HHs""","""Served HHs ""","Unserved HHs
(Actual per DU per Province)","Electrification
Rate (%)"
CAR,"504,527","485,827","18,700",96.3%
I,"1,441,212","1,450,906",-,100.0%
II,"1,043,304","1,007,889","35,415",96.6%
III,"3,469,528","3,539,679",-,100.0%
IV-A,"4,598,185","4,672,611",-,100.0%
IV-B,"887,864","779,948","107,916",87.8%
V,"1,492,297","1,358,578","133,719",91.0%
NCR,"3,947,966","3,886,962","61,004",98.5%
LUZON,"17,384,883","17,182,400","202,483",98.8%
NIR,"1,261,845","1,097,256","164,589",87.0%
VI,"1,304,302","1,257,561","46,741",96.4%
VII,"1,777,144","1,772,742","4,402",99.8%
VIII,"1,195,646","1,147,196","48,450",95.9%
VISAYAS,"5,538,937","5,274,755","264,182",95.2%
