error,hydro_generation_scale,hydro_kwh,hydro_output_floor,nearby_hydro_count,nearby_wind_count,province,province_id,recommended_source,solar_kwh,wind_generation_scale,wind_kwh
,1.0,45.973,0.0,0,0,ABRA,327,Solar,151.1148,1.0,117.9726
,1.171,227.3731,86.04,2,0,AGUSAN DEL NORTE,317,Hydropower,124.9204,1.0,141.3582
,1.0,1.467,0.0,0,0,AGUSAN DEL SUR,318,Wind,134.1797,1.0,136.495
,1.0,2.933,0.0,0,1,AKLAN,284,Wind,130.8079,1.092,151.0416
,1.0,35.582,0.0,0,0,ALBAY,278,Wind,137.7375,1.0,183.6157
,1.0,18.725,0.0,0,0,ANTIQUE,285,Wind,132.9341,1.0,190.08
,1.0,36.849,0.0,0,0,APAYAO,328,Solar,127.5571,1.0,114.2347
,1.0,21.405,0.0,0,0,AURORA,261,Solar,129.9458,1.0,76.4231
,1.0,0.559,0.0,0,0,BASILAN,322,Wind,133.7808,1.0,137.1677
,1.694,11.3667,0.0,1,0,BATAAN,262,Solar,149.926,1.0,141.7194
,1.0,2.84,0.0,0,0,BATANES,256,Wind,134.7732,1.0,190.08
,1.0,8.397,0.0,0,0,BATANGAS,268,Solar,144.7388,1.0,141.5756
,1.431,237.4587,150.0,1,0,BENGUET,329,Hydropower,142.6159,1.0,150.7506
,1.0,0.035,0.0,0,0,BILIRAN,294,Wind,135.4586,1.0,142.3119
,1.0,1.158,0.0,0,0,BOHOL,290,Wind,135.3497,1.0,145.3973
,1.01,26.5468,18.97,1,0,BUKIDNON,303,Solar,133.3607,1.0,77.8698
,1.694,150.0,150.0,1,0,BULACAN,263,Hydropower,135.4358,1.0,134.9691
,1.0,3.262,0.0,0,0,CAGAYAN,257,Solar,141.7449,1.0,114.2347
,1.0,5.182,0.0,0,0,CAMARINES NORTE,279,Wind,132.116,1.0,133.1937
,1.0,25.899,0.0,0,0,CAMARINES SUR,280,Wind,135.7569,1.0,190.08
,1.0,0.471,0.0,0,0,CAMIGUIN,304,Wind,136.444,1.0,190.08
,1.0,0.799,0.0,0,0,CAPIZ,286,Solar,133.8865,1.0,102.7658
,1.021,28.46,28.46,1,0,CATANDUANES,281,Wind,139.8376,1.0,190.08
,1.0,4.519,0.0,0,0,CAVITE,269,Wind,142.709,1.0,190.08
,1.0,0.161,0.0,0,0,CEBU,291,Wind,137.7934,1.0,190.08
404: No municipalities found for this province.,,,,,,City of Angeles,344,,,,
404: No municipalities found for this province.,,,,,,City of Bacolod,375,,,,
404: No municipalities found for this province.,,,,,,City of Baguio,373,,,,
404: No municipalities found for this province.,,,,,,City of Butuan,372,,,,
404: No municipalities found for this province.,,,,,,City of Cagayan De Oro,351,,,,
