geo_id,name,mode,solar_score,wind_score,hydro_score,solar_kwh,wind_kwh,hydro_kwh,recommended_source,suitability_recommended_source,suitability_recommended_score,hydro_data_source,hydro_catchment_name,hydro_stream_feasibility
252,ILOCOS NORTE,province,83.95,92.42,1.88,154.0071,277.2589,1.879,Wind,Wind,80.9,Boothroyd et al. 2023 catchment geodatabase,Laoag,moderate
253,ILOCOS SUR,province,82.02,26.96,4.67,150.4703,80.869,4.667,Solar,Solar,54.0,Boothroyd et al. 2023 catchment geodatabase,Abra,moderate
254,LA UNION,province,80.06,8.7,2.41,146.8771,26.0961,2.406,Solar,Solar,52.2,Boothroyd et al. 2023 catchment geodatabase,Amburayan,moderate
255,PANGASINAN,province,87.05,77.33,0.29,159.6979,232.0023,0.287,Wind,Wind,61.7,Boothroyd et al. 2023 catchment geodatabase,Patalan_Dagupan,moderate
256,BATANES,province,75.91,85.29,0.52,139.2656,255.8761,0.517,Wind,Wind,71.5,Boothroyd et al. 2023 catchment geodatabase,Abulug,none
257,CAGAYAN,province,79.84,84.21,0.65,146.4698,252.6343,0.646,Wind,Wind,70.2,Boothroyd et al. 2023 catchment geodatabase,Cagayan,low
258,ISABELA,province,76.62,34.0,0.73,140.5542,102.0065,0.731,Solar,Solar,49.1,Boothroyd et al. 2023 catchment geodatabase,Cagayan,moderate
259,NUEVA VIZCAYA,province,74.44,32.3,5.11,136.5636,96.904,5.106,Solar,Solar,47.2,Boothroyd et al. 2023 catchment geodatabase,Cagayan,high
260,QUIRINO,province,74.28,15.46,5.64,136.2668,46.3801,5.636,Solar,Solar,47.1,Boothroyd et al. 2023 catchment geodatabase,Cagayan,high
261,AURORA,province,73.19,34.52,3.75,134.2773,103.554,3.749,Solar,Solar,46.1,Boothroyd et al. 2023 catchment geodatabase,Cagayan,moderate
262,BATAAN,province,84.45,49.24,1.45,154.9235,147.7092,1.453,Solar,Solar,56.2,Boothroyd et al. 2023 catchment geodatabase,Lubao,none
263,BULACAN,province,76.29,100.0,0.1,139.9504,624.4834,0.097,Wind,Wind,100.0,Boothroyd et al. 2023 catchment geodatabase,Angat,low
264,NUEVA ECIJA,province,84.88,100.0,0.1,155.7055,342.5346,0.098,Wind,Wind,98.7,Boothroyd et al. 2023 catchment geodatabase,Pampanga,high
265,PAMPANGA,province,84.15,59.89,0.06,154.3753,179.662,0.059,Wind,Solar,55.9,Boothroyd et al. 2023 catchment geodatabase,Pampanga,moderate
266,TARLAC,province,85.71,45.23,0.2,157.24,135.7017,0.197,Solar,Solar,57.4,Boothroyd et al. 2023 catchment geodatabase,Agno,high
267,ZAMBALES,province,79.27,83.95,2.52,145.4176,251.8477,2.523,Wind,Wind,69.8,Boothroyd et al. 2023 catchment geodatabase,Bucao,low
268,BATANGAS,province,81.53,76.29,1.07,149.5634,228.8738,1.071,Wind,Wind,60.4,Boothroyd et al. 2023 catchment geodatabase,Pansipit,low
269,CAVITE,province,80.38,100.0,0.63,147.466,451.6803,0.628,Wind,Wind,100.0,Boothroyd et al. 2023 catchment geodatabase,Ternate,low
270,LAGUNA,province,77.04,100.0,0.97,141.3383,306.7954,0.973,Wind,Wind,92.6,Boothroyd et al. 2023 catchment geodatabase,Marikina_Pasig,high
272,RIZAL,province,78.7,53.4,2.38,144.3701,160.2037,2.377,Wind,Solar,51.0,Boothroyd et al. 2023 catchment geodatabase,Marikina_Pasig,high
273,MARINDUQUE,province,78.74,20.49,0.36,144.4575,61.4627,0.362,Solar,Solar,51.0,Boothroyd et al. 2023 catchment geodatabase,Lumangbayan,none
274,OCCIDENTAL MINDORO,province,76.31,90.69,9.41,139.9831,272.0799,9.411,Wind,Wind,78.6,Boothroyd et al. 2023 catchment geodatabase,Mamburao,none
275,ORIENTAL MINDORO,province,76.86,66.49,3.96,140.9964,199.4564,3.96,Wind,Solar,49.3,Boothroyd et al. 2023 catchment geodatabase,Malaylay,low
276,PALAWAN,province,78.4,39.78,0.06,143.8249,119.3275,0.064,Solar,Solar,50.7,Boothroyd et al. 2023 catchment geodatabase,Rizal,none
277,ROMBLON,province,82.59,57.99,0.01,151.5168,173.9555,0.009,Wind,Solar,54.5,Boothroyd et al. 2023 catchment geodatabase,Bongabong,none
278,ALBAY,province,77.58,77.68,5.94,142.3288,233.0362,5.941,Wind,Wind,62.1,Boothroyd et al. 2023 catchment geodatabase,Bicol,low
279,CAMARINES NORTE,province,74.42,50.61,1.01,136.5199,151.8346,1.009,Wind,Solar,47.2,Boothroyd et al. 2023 catchment geodatabase,Labo,moderate
280,CAMARINES SUR,province,76.47,78.24,5.23,140.2822,234.7149,5.231,Wind,Wind,62.8,Boothroyd et al. 2023 catchment geodatabase,Bicol,low
281,CATANDUANES,province,78.77,73.06,2.6,144.4989,219.1868,2.603,Wind,Wind,56.7,Boothroyd et al. 2023 catchment geodatabase,Bato,none
282,MASBATE,province,83.32,100.0,0.0,152.8534,326.0538,0.002,Wind,Wind,95.9,Boothroyd et al. 2023 catchment geodatabase,Ogod,none
283,SORSOGON,province,79.0,61.8,0.03,144.9324,185.4056,0.034,Wind,Solar,51.2,Boothroyd et al. 2023 catchment geodatabase,Ogod,none
284,AKLAN,province,73.68,48.71,0.57,135.1681,146.1245,0.566,Wind,Solar,46.5,Boothroyd et al. 2023 catchment geodatabase,Aklan,none
285,ANTIQUE,province,74.88,62.69,4.04,137.3652,188.0811,4.044,Wind,Solar,47.6,Boothroyd et al. 2023 catchment geodatabase,Sibalom,none
286,CAPIZ,province,75.41,23.91,0.17,138.3494,71.7434,0.174,Solar,Solar,48.0,Boothroyd et al. 2023 catchment geodatabase,Panay,high
287,GUIMARAS,province,82.67,100.0,0.0,151.6534,379.2977,0.001,Wind,Wind,100.0,Boothroyd et al. 2023 catchment geodatabase,Tigum,none
288,ILOILO,province,79.69,100.0,0.59,146.1981,315.9795,0.595,Wind,Wind,94.2,Boothroyd et al. 2023 catchment geodatabase,Jalaur,moderate
289,NEGROS OCCIDENTAL,province,75.0,78.97,1.6,137.5883,236.9195,1.596,Wind,Wind,63.7,Boothroyd et al. 2023 catchment geodatabase,Bago,low
290,BOHOL,province,76.24,41.92,0.25,139.8614,125.7645,0.25,Solar,Solar,48.8,Boothroyd et al. 2023 catchment geodatabase,Abatan,low
291,CEBU,province,77.62,29.43,0.03,142.3865,88.3019,0.031,Solar,Solar,50.0,Boothroyd et al. 2023 catchment geodatabase,Tanjay,none
292,NEGROS ORIENTAL,province,78.09,99.86,4.1,143.2639,299.572,4.099,Wind,Wind,91.2,Boothroyd et al. 2023 catchment geodatabase,Tanjay,low
293,SIQUIJOR,province,82.75,63.69,0.62,151.8087,191.0825,0.616,Wind,Solar,54.6,Boothroyd et al. 2023 catchment geodatabase,Tanjay,none
294,BILIRAN,province,76.3,30.66,0.01,139.9739,91.9725,0.007,Solar,Solar,48.8,Boothroyd et al. 2023 catchment geodatabase,Pagsangahan,none
295,EASTERN SAMAR,province,75.83,36.53,0.5,139.1124,109.5966,0.504,Solar,Solar,48.4,Boothroyd et al. 2023 catchment geodatabase,Llorente,low
296,LEYTE,province,74.08,32.84,0.18,135.8951,98.5167,0.18,Solar,Solar,46.9,Boothroyd et al. 2023 catchment geodatabase,Pagsangahan,low
297,NORTHERN SAMAR,province,79.7,46.73,0.09,146.2163,140.1956,0.092,Solar,Solar,51.9,Boothroyd et al. 2023 catchment geodatabase,Mano,moderate
298,SAMAR (WESTERN SAMAR),province,76.39,33.01,0.53,140.1308,99.0223,0.525,Solar,Solar,48.9,Boothroyd et al. 2023 catchment geodatabase,Gandara,low
299,SOUTHERN LEYTE,province,75.79,24.54,0.34,139.0374,73.6098,0.343,Solar,Solar,48.4,Boothroyd et al. 2023 catchment geodatabase,Cadacan,none
300,ZAMBOANGA DEL NORTE,province,74.27,24.26,2.47,136.2525,72.7893,2.469,Solar,Solar,47.1,Boothroyd et al. 2023 catchment geodatabase,Quipit,low
301,ZAMBOANGA DEL SUR,province,77.63,20.65,1.46,142.4066,61.9612,1.462,Solar,Solar,50.0,Boothroyd et al. 2023 catchment geodatabase,Dinas,moderate
302,ZAMBOANGA SIBUGAY,province,78.24,16.36,0.39,143.5253,49.0777,0.386,Solar,Solar,50.5,Boothroyd et al. 2023 catchment geodatabase,Sibuguey,low
303,BUKIDNON,province,75.12,27.17,5.59,137.806,81.5043,5.589,Solar,Solar,47.8,Boothroyd et al. 2023 catchment geodatabase,Rio_Grande_de_Mindanao,high
304,CAMIGUIN,province,76.86,32.19,0.1,140.9922,96.5633,0.102,Solar,Solar,49.3,Boothroyd et al. 2023 catchment geodatabase,Odiongan,none
305,LANAO DEL NORTE,province,73.46,11.29,0.85,134.7668,33.8768,0.85,Solar,Solar,46.4,Boothroyd et al. 2023 catchment geodatabase,Maranding,low
306,MISAMIS OCCIDENTAL,province,73.73,19.09,1.13,135.2569,57.2779,1.135,Solar,Solar,46.6,Boothroyd et al. 2023 catchment geodatabase,Paro_Dapitan,none
307,MISAMIS ORIENTAL,province,75.9,11.73,0.64,139.2466,35.1906,0.642,Solar,Solar,48.5,Boothroyd et al. 2023 catchment geodatabase,Tagoloan,none
310,DAVAO DEL SUR,province,80.41,14.21,1.34,147.5191,42.6413,1.335,Solar,Solar,52.5,Boothroyd et al. 2023 catchment geodatabase,Padada_Mainit,moderate
311,DAVAO OCCIDENTAL,province,73.89,54.0,3.62,135.5596,162.0135,3.62,Wind,Solar,46.7,Boothroyd et al. 2023 catchment geodatabase,Glan,none
312,DAVAO ORIENTAL,province,74.35,13.6,5.14,136.4035,40.8103,5.141,Solar,Solar,47.1,Boothroyd et al. 2023 catchment geodatabase,Sumlog,low
314,SARANGANI,province,75.21,19.75,1.95,137.9829,59.2501,1.951,Solar,Solar,47.9,Boothroyd et al. 2023 catchment geodatabase,Malungon,high
315,SOUTH COTABATO,province,72.63,5.13,1.76,133.2357,15.3824,1.76,Solar,Solar,45.6,Boothroyd et al. 2023 catchment geodatabase,Rio_Grande_de_Mindanao,high
316,SULTAN KUDARAT,province,72.71,20.74,2.44,133.3904,62.2324,2.437,Solar,Solar,45.7,Boothroyd et al. 2023 catchment geodatabase,Rio_Grande_de_Mindanao,high
317,AGUSAN DEL NORTE,province,70.36,7.01,41.72,129.0844,21.0347,41.724,Solar,Solar,43.7,Boothroyd et al. 2023 catchment geodatabase,Asiga,moderate
318,AGUSAN DEL SUR,province,75.58,17.65,0.3,138.6523,52.9421,0.305,Solar,Solar,48.2,Boothroyd et al. 2023 catchment geodatabase,Agusan,high
319,DINAGAT ISLANDS,province,75.01,60.89,1.6,137.6156,182.6766,1.604,Wind,Solar,47.7,Boothroyd et al. 2023 catchment geodatabase,Asiga,none
320,SURIGAO DEL NORTE,province,75.69,35.54,0.41,138.8548,106.6281,0.407,Solar,Solar,48.3,Boothroyd et al. 2023 catchment geodatabase,Asiga,none
321,SURIGAO DEL SUR,province,77.35,27.99,3.25,141.8912,83.9714,3.251,Solar,Solar,49.8,Boothroyd et al. 2023 catchment geodatabase,Tago,moderate
322,BASILAN,province,75.35,9.04,0.12,138.2402,27.114,0.121,Solar,Solar,48.0,Boothroyd et al. 2023 catchment geodatabase,Sibulao,none
323,LANAO DEL SUR,province,72.65,9.02,3.29,133.277,27.0597,3.294,Solar,Solar,45.7,Boothroyd et al. 2023 catchment geodatabase,Agus,high
325,SULU,province,79.61,18.1,0.12,146.0483,54.2983,0.119,Solar,Solar,51.8,Boothroyd et al. 2023 catchment geodatabase,Sibulao,none
326,TAWI-TAWI,province,79.26,16.31,0.14,145.4111,48.9434,0.138,Solar,Solar,51.5,Boothroyd et al. 2023 catchment geodatabase,Sibulao,none
327,ABRA,province,85.12,66.16,9.83,156.1519,198.4813,9.827,Wind,Solar,56.8,Boothroyd et al. 2023 catchment geodatabase,Abra,high
328,APAYAO,province,71.85,37.39,7.95,131.809,112.1801,7.951,Solar,Solar,45.0,Boothroyd et al. 2023 catchment geodatabase,Abulug,high
329,BENGUET,province,80.33,30.78,30.1,147.3698,92.3456,30.104,Solar,Solar,52.4,Boothroyd et al. 2023 catchment geodatabase,Amburayan,high
330,IFUGAO,province,78.53,5.71,27.53,144.0727,17.1308,27.531,Solar,Solar,50.8,Boothroyd et al. 2023 catchment geodatabase,Cagayan,high
331,KALINGA,province,77.34,15.61,40.33,141.8827,46.8442,40.327,Solar,Solar,49.7,Boothroyd et al. 2023 catchment geodatabase,Cagayan,high
338,MOUNTAIN PROVINCE,province,79.91,22.85,29.46,146.5909,68.5558,29.465,Solar,Solar,52.0,Boothroyd et al. 2023 catchment geodatabase,Cagayan,high
340,NCR - 1st DISTRICT (MANILA),province,77.41,100.0,1.16,142.0152,359.9561,1.16,Wind,Wind,100.0,Boothroyd et al. 2023 catchment geodatabase,Norte_Lauis,moderate
341,NCR - 2nd DISTRICT,province,75.94,26.76,0.13,139.3225,80.2778,0.135,Solar,Solar,48.5,Boothroyd et al. 2023 catchment geodatabase,Marikina_Pasig,high
4919,ADAMS,municipality,73.13,22.16,5.44,134.1606,66.4713,5.438,Solar,Solar,46.1,Boothroyd et al. 2023 catchment geodatabase,Abulug,moderate
4920,BACARRA,municipality,91.56,56.74,0.03,167.9614,170.2066,0.035,Wind,Solar,63.0,Boothroyd et al. 2023 catchment geodatabase,Bislak,moderate
4921,BADOC,municipality,90.38,55.64,0.02,165.8023,166.9253,0.023,Wind,Solar,61.8,Boothroyd et al. 2023 catchment geodatabase,Laoag,none
4922,BANGUI,municipality,85.41,100.0,1.77,156.682,3387.8423,1.766,Wind,Wind,100.0,Boothroyd et al. 2023 catchment geodatabase,Bislak,moderate
4923,BANNA (ESPIRITU),municipality,85.96,7.42,0.07,157.6871,22.2529,0.071,Solar,Solar,57.6,Boothroyd et al. 2023 catchment geodatabase,Laoag,high
4926,CARASI,municipality,80.78,58.16,41.67,148.1946,174.4801,41.668,Wind,Solar,52.8,Boothroyd et al. 2023 catchment geodatabase,Laoag,high
4927,CURRIMAO,municipality,91.82,28.31,1.02,168.4453,84.9435,1.02,Solar,Solar,63.2,Boothroyd et al. 2023 catchment geodatabase,Laoag,none
4928,DINGRAS,municipality,88.07,71.78,0.04,161.5586,215.3372,0.038,Wind,Solar,59.6,Boothroyd et al. 2023 catchment geodatabase,Laoag,high
4929,DUMALNEG,municipality,75.69,100.0,1.87,138.851,2605.7706,1.866,Wind,Wind,100.0,Boothroyd et al. 2023 catchment geodatabase,Bislak,moderate
4930,LAOAG CITY,municipality,92.41,63.72,1.42,169.5248,191.1544,1.419,Wind,Solar,63.8,Boothroyd et al. 2023 catchment geodatabase,Laoag,high
4931,MARCOS,municipality,86.75,20.78,0.05,159.1389,62.3385,0.047,Solar,Solar,58.4,Boothroyd et al. 2023 catchment geodatabase,Laoag,high
4932,NUEVA ERA,municipality,80.5,48.61,31.02,147.6735,145.8398,31.015,Solar,Solar,52.6,Boothroyd et al. 2023 catchment geodatabase,Laoag,high
4933,PAGUDPUD,municipality,74.73,100.0,0.61,137.1015,594.6982,0.61,Wind,Wind,100.0,Boothroyd et al. 2023 catchment geodatabase,Bislak,low
4934,PAOAY,municipality,93.36,57.92,0.01,171.2744,173.7715,0.015,Wind,Solar,64.8,Boothroyd et al. 2023 catchment geodatabase,Laoag,none
4935,PASUQUIN,municipality,89.89,83.76,0.96,164.9089,251.2825,0.965,Wind,Wind,69.6,Boothroyd et al. 2023 catchment geodatabase,Bislak,low
4936,PIDDIG,municipality,88.39,100.0,0.31,162.1542,450.2364,0.31,Wind,Wind,100.0,Boothroyd et al. 2023 catchment geodatabase,Laoag,high
4937,PINILI,municipality,90.68,24.07,0.09,166.3606,72.2061,0.089,Solar,Solar,62.1,Boothroyd et al. 2023 catchment geodatabase,Laoag,low
4938,SAN NICOLAS,municipality,78.95,100.0,0.56,144.8444,486.9687,0.561,Wind,Wind,100.0,Boothroyd et al. 2023 catchment geodatabase,Pansipit,moderate
4939,SARRAT,municipality,89.73,100.0,3.43,164.6111,311.2211,3.429,Wind,Wind,93.4,Boothroyd et al. 2023 catchment geodatabase,Laoag,high
4940,SOLSONA,municipality,86.58,100.0,0.22,158.8411,411.7718,0.219,Wind,Wind,100.0,Boothroyd et al. 2023 catchment geodatabase,Laoag,high
4941,VINTAR,municipality,84.47,100.0,3.29,154.9697,306.6039,3.288,Wind,Wind,92.6,Boothroyd et al. 2023 catchment geodatabase,Bislak,high
4942,ALILEM,municipality,73.03,2.47,6.18,133.9745,7.4163,6.176,Solar,Solar,46.0,Boothroyd et al. 2023 catchment geodatabase,Amburayan,high
4943,BANAYOYO,municipality,91.58,9.14,0.04,167.9986,27.4077,0.042,Solar,Solar,63.0,Boothroyd et al. 2023 catchment geodatabase,Silay,moderate
4944,BANTAY,municipality,89.81,100.0,1.06,164.7599,540.817,1.057,Wind,Wind,100.0,Boothroyd et al. 2023 catchment geodatabase,Abra,moderate
4946,CABUGAO,municipality,86.6,70.47,3.87,158.8783,211.4043,3.871,Wind,Solar,58.2,Boothroyd et al. 2023 catchment geodatabase,Abra,low
4947,CANDON CITY,municipality,92.35,14.9,0.32,169.4132,44.6869,0.316,Solar,Solar,63.8,Boothroyd et al. 2023 catchment geodatabase,Silay,low
4948,CAOAYAN,municipality,93.87,100.0,0.93,172.205,557.9399,0.931,Wind,Wind,100.0,Boothroyd et al. 2023 catchment geodatabase,Abra,moderate
4949,CERVANTES,municipality,88.19,15.17,2.19,161.782,45.515,2.19,Solar,Solar,59.7,Boothroyd et al. 2023 catchment geodatabase,Abra,high
4950,GALIMUYOD,municipality,87.25,8.85,0.6,160.0696,26.5415,0.602,Solar,Solar,58.8,Boothroyd et al. 2023 catchment geodatabase,Silay,moderate
4952,LIDLIDDA,municipality,89.3,5.47,0.04,163.8293,16.409,0.037,Solar,Solar,60.8,Boothroyd et al. 2023 catchment geodatabase,Silay,high
4953,MAGSINGAL,municipality,88.63,100.0,24.26,162.6009,467.1821,24.257,Wind,Wind,100.0,Boothroyd et al. 2023 catchment geodatabase,Abra,low
4954,NAGBUKEL,municipality,92.1,36.79,0.52,168.9665,110.382,0.515,Solar,Solar,63.5,Boothroyd et al. 2023 catchment geodatabase,Silay,moderate
4955,NARVACAN,municipality,93.81,54.72,0.09,172.0934,164.1728,0.094,Solar,Solar,65.2,Boothroyd et al. 2023 catchment geodatabase,Abra,low
4958,SAN EMILIO,municipality,88.0,9.08,0.38,161.4469,27.2407,0.384,Solar,Solar,59.6,Boothroyd et al. 2023 catchment geodatabase,Silay,high
4959,SAN ESTEBAN,municipality,93.65,46.92,0.03,171.7956,140.7516,0.032,Solar,Solar,65.0,Boothroyd et al. 2023 catchment geodatabase,Silay,moderate
4960,SAN ILDEFONSO,municipality,80.36,100.0,0.03,147.4129,316.5136,0.029,Wind,Wind,94.3,Boothroyd et al. 2023 catchment geodatabase,Pampanga,high
4963,SANTA,municipality,91.47,50.57,9.25,167.8125,151.7242,9.251,Solar,Solar,62.9,Boothroyd et al. 2023 catchment geodatabase,Abra,moderate
4966,SANTA LUCIA,municipality,91.33,14.08,0.37,167.5519,42.2504,0.367,Solar,Solar,62.8,Boothroyd et al. 2023 catchment geodatabase,Amburayan,none
4968,SANTIAGO,municipality,60.59,10.34,26.22,111.1552,31.0308,26.216,Solar,Solar,35.8,Boothroyd et al. 2023 catchment geodatabase,Asiga,high
4970,SIGAY,municipality,74.8,19.08,12.3,137.2132,57.2272,12.304,Solar,Solar,47.5,Boothroyd et al. 2023 catchment geodatabase,Amburayan,high
4971,SINAIT,municipality,89.99,70.22,0.31,165.095,210.6679,0.31,Wind,Solar,61.5,Boothroyd et al. 2023 catchment geodatabase,Abra,none
