id,method,path,expected,status,latency_ms,verdict,note,response_snippet
TC-API-001,GET,/health,200 {'status':'ok'},200,20.8,PASS,,"{""status"": ""ok""}"
TC-API-001b,GET,/health/detailed,200 dependency checks,200,288.8,PASS,,"{""status"": ""ok"", ""uptime_seconds"": 302.36, ""checks"": {""supabase"": ""ok"", ""redis"": ""ok"", ""rag_index"": ""ok""}}"
TC-ES-001,GET,/ecosim/municipalities,"200, items > 0",200,45.2,PASS,,"{""items"": [{""municipality_id"": 5441, ""name"": ""ABORLAN"", ""province_name"": ""PALAWAN""}, {""municipality_id"": 5415, ""name"": ""ABRA DE ILOG"", ""province_name"": ""OCCIDENTAL MINDORO""}, {""municipality_id"": 5145, ""name"": ""ABUCAY"", """
TC-ES-001b,GET,/ecosim/provinces,"200, items > 0",200,36.2,PASS,,"{""items"": [{""province_id"": 327, ""name"": ""ABRA""}, {""province_id"": 317, ""name"": ""AGUSAN DEL NORTE""}, {""province_id"": 318, ""name"": ""AGUSAN DEL SUR""}, {""province_id"": 284, ""name"": ""AKLAN""}, {""province_id"": 278, ""name"": ""ALBA"
TC-ES-001c,GET,/ecosim/barangays,200 list,200,44.3,PASS,,"{""items"": [{""barangay_id"": 44794, ""name"": ""APO-APORAWAN"", ""municipality_id"": 5441}, {""barangay_id"": 44795, ""name"": ""APOC-APOC"", ""municipality_id"": 5441}, {""barangay_id"": 44796, ""name"": ""APORAWAN"", ""municipality_id"": 5441"
TC-ES-002,GET,/ecosim/,200 dashboard,200,770.1,PASS,,"{""municipality"": ""ABORLAN"", ""municipality_id"": 5441, ""province"": ""PALAWAN"", ""mode"": ""municipality"", ""monthly_consumption_kwh"": 350.0, ""user_consumption_kwh"": 350.0, ""effective_consumption_kwh"": 350.0, ""monthly_bill"": 500"
TC-ES-003,GET,/ecosim/,422 missing params,422,5.5,PASS,,"{""detail"": [{""type"": ""missing"", ""loc"": [""query"", ""municipality_id""], ""msg"": ""Field required"", ""input"": null}, {""type"": ""missing"", ""loc"": [""query"", ""monthly_consumption""], ""msg"": ""Field required"", ""input"": null}, {""type"":"
TC-ES-004,GET,/ecosim/,404 invalid municipality,404,112.2,PASS,,"{""detail"": ""The selected municipality was not found.""}"
TC-ES-004b,GET,/ecosim/,422 negative id,422,5.1,PASS,,"{""detail"": [{""type"": ""greater_than"", ""loc"": [""query"", ""municipality_id""], ""msg"": ""Input should be greater than 0"", ""input"": ""-1"", ""ctx"": {""gt"": 0}}]}"
TC-ES-010,GET,/ecosim/ai,200 AI analysis or graceful fallback,200,902.7,PASS,,"{""ai_analysis"": {""summary"": ""## Observation  \nThe town of Aborlan is warm and humid, with an average temperature of about\u202f28\u202f\u00b0C and relative humidity around\u202f80\u202f%. It receives strong sunlight\u20"
TC-ES-011,GET,/ecosim/,200 with RAG flag,200,849.2,PASS,,"{""municipality"": ""ABORLAN"", ""municipality_id"": 5441, ""province"": ""PALAWAN"", ""mode"": ""municipality"", ""monthly_consumption_kwh"": 350.0, ""user_consumption_kwh"": 350.0, ""effective_consumption_kwh"": 350.0, ""monthly_bill"": 500"
TC-ES-012,POST,/ecosim/,200/201 simulation,201,380.0,PASS,,"{""municipality_data"": [{""municipality_id"": 5441, ""avg_t2m"": 28.1292708333333, ""avg_t2m_max"": 29.9028125, ""avg_t2m_min"": 26.5417708333333, ""avg_rh2m"": 80.1955208333333, ""avg_prectotcorr"": 4.7325, ""avg_ws10m"": 4.4546875, """
TC-ES-012b,POST,/ecosim/,422 out-of-range desired_savings,422,3.5,PASS,,"{""detail"": [{""type"": ""less_than_equal"", ""loc"": [""body"", ""desired_savings""], ""msg"": ""Input should be less than or equal to 1"", ""input"": 1.5, ""ctx"": {""le"": 1.0}}]}"
TC-ES-013,POST,/ecosim/,422 invalid body,422,4.5,PASS,,"{""detail"": [{""type"": ""missing"", ""loc"": [""body"", ""house_name""], ""msg"": ""Field required"", ""input"": {""municipality_id"": ""not-an-int""}}, {""type"": ""missing"", ""loc"": [""body"", ""municipality""], ""msg"": ""Field required"", ""input"": "
TC-EH-001,GET,/energyhub/overview,200 overview,200,5.2,PASS,,"{""latest"": {""year"": 2025, ""total_consumption_gwh"": 126378.0, ""total_peak_demand_mw"": 19212.0, ""total_generation_gwh"": 0.0, ""renewable_generation_gwh"": 31647.0, ""renewable_share_pct"": 25.04, ""capacity_margin_mw"": 23359.0,"
TC-EH-002,GET,/energyhub/trends,200 trends,200,8.7,PASS,,"{""years"": [2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025], ""series"": {""total_consumption_gwh"": [52941.0, 55957.0, 56568.0, 56784."
TC-EH-004,GET,/energyhub/forecast,200 consumption forecast,200,3.0,PASS,,"{""forecast_years"": [2025, 2026, 2027, 2028, 2029, 2030], ""forecast_values"": [104579.74, 107403.3, 110226.69, 113049.9, 115872.94, 118695.79], ""ci_lower"": [98201.23, 98255.89, 98870.21, 99761.98, 100823.92, 102002.03], ""c"
TC-EH-005,GET,/energyhub/forecast,200 peak_demand forecast,200,5.2,PASS,,"{""forecast_years"": [2025, 2026, 2027, 2028, 2029, 2030], ""forecast_values"": [15684.97, 16087.93, 16490.88, 16893.83, 17296.76, 17699.69], ""ci_lower"": [14942.63, 15013.19, 15144.76, 15305.75, 15484.33, 15674.64], ""ci_uppe"
TC-EH-006,GET,/energyhub/map-data,200 map data,200,40.6,PASS,,"{""items"": [{""region"": """", ""province"": ""Pampanga"", ""municipality"": null, ""municipality_id"": null, ""value"": 47.84, ""classification"": null, ""factors"": null, ""metric"": ""renewable_potential"", ""lat"": 15.0519635, ""lon"": 120.644"
TC-EH-007,GET,/energyhub/source-breakdown,200 source mix,200,2.4,PASS,,"{""year"": 2025, ""total_generation_gwh"": 126376.0, ""generation_gwh"": {""coal"": 72303.0, ""natural_gas"": 21721.0, ""oil_based"": 706.0, ""geothermal"": 10457.0, ""hydro"": 13629.0, ""solar"": 4785.0, ""wind"": 1248.0, ""biomass"": 1527.0"
TC-EH-008,GET,/energyhub/grid-breakdown,200 grid split,200,2.0,PASS,,"{""year"": 2025, ""total_generation_gwh"": 126377.0, ""generation_gwh"": {""luzon"": 89614.0, ""visayas"": 15994.0, ""mindanao"": 20769.0}, ""share_pct"": {""luzon"": 70.91, ""visayas"": 12.66, ""mindanao"": 16.43}}"
TC-EH-009,GET,/energyhub/ai-insight,200 static insight,200,5.3,PASS,,"{""insight"": ""In 2025, Philippine total electricity consumption reached 126,378 GWh, marking a -0.4% year-over-year change. Renewable energy accounted for 25.0% of the national mix. The capacity margin of 121.6% provides "
TC-EH-010,GET,/energyhub/forecast,4xx invalid metric,200,2.3,FAIL,,"{""forecast_years"": [2025, 2026, 2027, 2028, 2029, 2030], ""forecast_values"": [104579.74, 107403.3, 110226.69, 113049.9, 115872.94, 118695.79], ""ci_lower"": [98201.23, 98255.89, 98870.21, 99761.98, 100823.92, 102002.03], ""c"
TC-EH-011,GET,/energyhub/model-comparison,200 model metrics,200,3.2,PASS,,"{""items"": [{""model"": ""Linear Trend Regression"", ""mae"": 5993.83, ""rmse"": 7342.1, ""mape"": 4.97}, {""model"": ""Holt Linear Smoothing"", ""mae"": 6203.1, ""rmse"": 7622.79, ""mape"": 5.14}, {""model"": ""Naive with Drift"", ""mae"": 6709.3"
TC-EH-012,GET,/energyhub/provincial-demand,200 provincial demand,200,3.8,PASS,,"{""items"": [{""region"": ""ARMM"", ""sector"": ""Residential"", ""value_mwh"": 364757.0, ""year"": 2025}, {""region"": ""CAR"", ""sector"": ""Residential"", ""value_mwh"": 469164.0, ""year"": 2025}, {""region"": ""NCR"", ""sector"": ""Residential"", ""va"
TC-EH-013,GET,/energyhub/municipal-demand/327,200 municipal demand,200,158.2,PASS,,"{""items"": [], ""province"": ""ABRA"", ""note"": ""PSA population data not yet loaded. Municipal demand estimation requires municipal_population table.""}"
TC-EH-014,GET,/energyhub/irena/overview,200 IRENA overview,200,7.2,PASS,,"{""capacity"": [{""technology"": ""Geothermal energy"", ""grid_connection"": ""OnGrid"", ""year"": 2000, ""capacity_mw"": 1846.7}, {""technology"": ""Geothermal energy"", ""grid_connection"": ""OnGrid"", ""year"": 2001, ""capacity_mw"": 1846.7}, "
TC-EH-015,GET,/energyhub/irena/capacity,200 IRENA capacity,200,5.4,PASS,,"{""items"": [{""technology"": ""Geothermal energy"", ""grid_connection"": ""OnGrid"", ""year"": 2000, ""capacity_mw"": 1846.7}, {""technology"": ""Geothermal energy"", ""grid_connection"": ""OnGrid"", ""year"": 2001, ""capacity_mw"": 1846.7}, {""t"
TC-EH-016,GET,/energyhub/irena/generation,200 IRENA generation,200,6.0,PASS,,"{""items"": [{""technology"": ""Geothermal energy"", ""grid_connection"": ""On-grid"", ""year"": 2000, ""generation_gwh"": 11626.0}, {""technology"": ""Geothermal energy"", ""grid_connection"": ""On-grid"", ""year"": 2001, ""generation_gwh"": 104"
TC-EH-017,GET,/energyhub/irena/renewable-share,200 RE share,200,2.9,PASS,,"{""items"": [{""year"": 2000, ""renewable_share_pct"": 41.88}, {""year"": 2000, ""renewable_share_pct"": 32.54}, {""year"": 2001, ""renewable_share_pct"": 30.01}, {""year"": 2001, ""renewable_share_pct"": 36.31}, {""year"": 2002, ""renewable"
TC-EH-018,GET,/energyhub/meralco-rate,200 Meralco rate,200,2.3,PASS,,"{""rate_php_per_kwh"": 4.9039, ""year"": 2020, ""customer_class"": ""Residential"", ""charge_component"": ""Generation Energy Charge"", ""note"": ""Meralco generation charge component only. Total bill includes transmission, distributio"
TC-EH-019,GET,/energyhub/solar-atlas,200/4xx solar atlas,200,3.6,PASS,,"{""items"": [], ""note"": ""Data from Global Solar Atlas v2 (long-term annual averages).""}"
TC-EH-020,GET,/energyhub/map-explanation,200 map explanation,200,115.5,PASS,,"{""insight"": ""The map shows a combined score that mixes how well each province could host solar panels, wind turbines, small hydro sites, and geothermal plants. The numbers run from 0 to 100, where a higher score means th"
TC-EH-021,POST,/energyhub/analyze-chart,200/503 chart analysis,200,78.9,PASS,,"{""insight"": ""From 2020 to now, electricity use has risen steadily, especially in homes with more air\u2011conditioners and electronic devices. This means your monthly bill is going up faster than before. To curb this, st"
TC-GEO-001,GET,/geothermal/plants,200 plant list,200,2.2,PASS,,"[{""project_name"": ""Amacan geothermal power plant"", ""unit_name"": ""--"", ""capacity_mw"": 100.0, ""technology"": ""unknown type"", ""status"": ""pre-construction"", ""raw_status"": ""pre-construction"", ""latitude"": 7.40259386928141, ""lon"
TC-GEO-002,GET,/geothermal/5441,200 suitability,200,258.9,PASS,,"{""suitability"": {""municipality_id"": 5441, ""heat_flow_score"": 0.14, ""fault_density"": 0.1, ""fault_distance_km"": 531.4, ""volcano_distance_km"": 463.44, ""aquifer_score"": 0.176, ""temperature_score"": 0.51, ""geothermal_score"": 0"
TC-GEO-003,GET,/geothermal/ecosim/geothermal,200 params,200,155.5,PASS,,"{""municipality_id"": 5441, ""heat_flow_score"": 0.14, ""fault_distance_km"": 531.4, ""volcano_distance_km"": 463.44, ""aquifer_score"": 0.176, ""reservoir_temperature_c"": 68.61, ""estimated_flow_rate_kg_s"": 30.65, ""classification"":"
TC-GEO-004,GET,/geothermal/ecohub/geothermal-summary,200 summary,200,336.3,PASS,,"[{""province"": ""PAMPANGA"", ""avg_geothermal_score"": 0.311, ""total_electric_potential_mw"": 1.085, ""classification_counts"": {""Low"": 15, ""Moderate"": 1}}, {""province"": ""BASILAN"", ""avg_geothermal_score"": 0.275, ""total_electric_"
TC-GEO-005,GET,/geothermal/999999,404 invalid municipality,500,97.1,FAIL,,"{""detail"": ""Server error. Please try again or contact support."", ""request_id"": ""1c2d5774-7f2a-498e-8eaa-d525fa2f50ab""}"
TC-GS-001,GET,/geospatial/centroids,200 centroids,200,39.9,PASS,,"{""level"": ""province"", ""items"": [{""geo_id"": 265, ""name"": ""PAMPANGA"", ""centroid_lat"": 15.0519635, ""centroid_lon"": 120.6445398, ""area_km2"": null, ""elevation_m"": null}, {""geo_id"": 266, ""name"": ""TARLAC"", ""centroid_lat"": 15.49"
TC-GS-002,GET,/geospatial/centroids/municipality/5441,200 centroid,200,37.0,PASS,,"{""level"": ""municipality"", ""geo_id"": 5441, ""centroid_lat"": 9.4371009, ""centroid_lon"": 118.5484168, ""area_km2"": null, ""elevation_m"": null, ""source"": ""existing""}"
TC-GS-003,GET,/geospatial/climate,200 climate,200,41.7,PASS,,"{""level"": ""municipality"", ""geo_id"": 5441, ""year"": null, ""source"": ""municipality_climate_monthly"", ""records"": [{""municipality_id"": 5441, ""year"": 2010, ""month"": 1, ""t2m"": 26.99, ""t2m_max"": 28.96, ""t2m_min"": 25.49, ""rh2m"": "
TC-GS-004,GET,/geospatial/climate/hierarchy,200 hierarchy,200,44.7,PASS,,"{""requested_level"": ""municipality"", ""actual_level"": ""municipality"", ""geo_id"": 5441, ""year"": null, ""records"": [{""municipality_id"": 5441, ""year"": 2010, ""month"": 1, ""t2m"": 26.99, ""t2m_max"": 28.96, ""t2m_min"": 25.49, ""rh2m"": "
TC-GS-005,GET,/geospatial/climate/province-aggregate,200 province aggregate,200,39.2,PASS,,"{""level"": ""province"", ""geo_id"": 327, ""year"": 2023, ""source"": ""province_climate_monthly_or_aggregated"", ""records"": [{""province_id"": 327, ""year"": 2023, ""month"": 1, ""source"": ""aggregated_from_municipalities"", ""t2m"": 23.1021"
TC-GS-006,GET,/geospatial/climate,422 missing geo_id,422,1.8,PASS,,"{""detail"": [{""type"": ""missing"", ""loc"": [""query"", ""geo_id""], ""msg"": ""Field required"", ""input"": null}]}"
TC-MAP-001,GET,/map/psgc/hierarchy,200 PSGC hierarchy,200,36.4,PASS,,"{""municipality"": {""id"": 5441, ""name"": ""ABORLAN"", ""lat"": 9.4371009, ""lon"": 118.5484168}, ""province"": {""id"": 276, ""name"": ""PALAWAN""}, ""region"": {""id"": 57, ""name"": ""REGION IV-B""}, ""barangays"": [{""barangay_id"": 44794, ""name"""
TC-MAP-002,GET,/map/coverage,200 coverage,200,35.9,PASS,,"{""level"": ""municipality"", ""total_units"": 1813, ""with_climate_data"": 1763, ""coverage_pct"": 97.2}"
