Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /ecosim/ (simulation),68,0,8500,8234.192032348159,4538.339599967003,12210.199899971485,7531.926470588235,1.1517109630477196,0.0,8600,9200,9600,9700,10000,11000,11000,12000,12000,12000,12000
GET,GET /ecosim/municipalities,41,0,5000,4945.29273901873,2112.4754999764264,7752.086900058202,135135.0,0.6944139630140662,0.0,5000,5500,6000,6300,6600,6700,7800,7800,7800,7800,7800
GET,GET /ecosim/provinces,38,0,5900,5701.219473680555,2149.8903000028804,8268.93309992738,5120.0,0.6436031852325491,0.0,5900,6600,7200,7200,7800,7900,8300,8300,8300,8300,8300
GET,GET /energyhub/map-data,90,0,5500,5623.652769997716,2667.0419999863952,8424.194099963643,25371.0,1.524323333445511,0.0,5500,6000,6500,6700,7200,7900,8400,8400,8400,8400,8400
GET,GET /energyhub/overview,116,0,4900,4937.931472416525,2076.4528999570757,8723.14420004841,827.0,1.9646834075519921,0.0,4900,5700,6100,6200,6600,8000,8700,8700,8700,8700,8700
GET,GET /energyhub/trends,106,0,5400,5432.896835840404,2223.085100064054,8361.27310001757,3902.0,1.7953141482802686,0.0,5500,5900,6500,6900,7500,7800,7800,8200,8400,8400,8400
GET,GET /geospatial/centroids,39,0,5300,4813.46520770174,2226.2424000073224,8239.58870000206,10837.0,0.6605401111597214,0.0,5300,5500,5800,6000,6500,7000,8200,8200,8200,8200,8200
GET,GET /geothermal/plants,29,0,5800,5733.932799992858,2936.8333999300376,8361.641100025736,22377.0,0.49117085188799803,0.0,5800,6400,6400,6500,7100,7400,8400,8400,8400,8400,8400
GET,GET /map/coverage,47,0,5000,4969.68385319602,2236.4044000860304,7908.139100065455,88.0,0.7960355185771003,0.0,5000,5800,6200,6300,6500,6800,7900,7900,7900,7900,7900
GET,GET /map/solar,44,0,5800,5587.048654534473,2638.925899984315,8426.195500069298,144659.0,0.7452247407955832,0.0,6000,6700,6900,7200,7800,7800,8400,8400,8400,8400,8400
GET,GET /products/browse,33,0,5500,5407.625878797703,2935.135200037621,7747.810299973935,7697.0,0.5589185555966875,0.0,5500,5800,5900,6400,6900,7500,7700,7700,7700,7700,7700
,Aggregated,651,0,5500,5600.6304076785145,2076.4528999570757,12210.199899971485,25706.465437788018,11.025938778589197,0.0,5500,6200,6500,6900,7800,8700,9700,10000,12000,12000,12000
