Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /ecosim/ (simulation),43,0,1200,1164.6200046484728,443.9314999617636,2122.0278999535367,7466.906976744186,1.4875447222053095,0.0,1200,1300,1600,1700,1900,2100,2100,2100,2100,2100,2100
GET,GET /ecosim/municipalities,22,0,120,319.8804227180186,41.73419997096062,1399.2419999558479,135135.0,0.7610693927562049,0.0,200,320,340,450,910,1400,1400,1400,1400,1400,1400
GET,GET /ecosim/provinces,22,0,79,247.01826363823122,35.54169996641576,1081.290900008753,5120.0,0.7610693927562049,0.0,90,120,160,490,950,1100,1100,1100,1100,1100,1100
GET,GET /energyhub/map-data,53,0,87,237.25110565900872,36.578499944880605,1431.5012999577448,25371.0,1.8334853552763117,0.0,87,120,160,180,1000,1000,1100,1400,1400,1400,1400
GET,GET /energyhub/overview,55,0,120,268.8195872755552,3.8865000242367387,1373.7775000045076,827.0,1.9026734818905122,0.0,120,330,460,500,620,930,1100,1400,1400,1400,1400
GET,GET /energyhub/trends,54,0,89,344.5906611116327,4.3002000311389565,1474.1844000527635,3902.0,1.868079418583412,0.0,90,520,600,660,930,1300,1400,1500,1500,1500,1500
GET,GET /geospatial/centroids,24,0,150,263.54118332771276,39.37329992186278,658.3537999540567,10837.0,0.8302575193704053,0.0,150,180,520,580,590,590,660,660,660,660,660
GET,GET /geothermal/plants,22,0,9,64.16419090237468,2.1567000076174736,651.8050000304356,22377.0,0.7610693927562049,0.0,38,41,74,77,120,130,650,650,650,650,650
GET,GET /map/coverage,25,0,370,340.81473600585014,36.66240000165999,925.406499998644,88.0,0.8648515826775055,0.0,370,460,500,530,580,920,930,930,930,930,930
GET,GET /map/solar,25,0,580,533.941343985498,49.83699996955693,1476.1174999875948,144659.0,0.8648515826775055,0.0,580,660,660,1100,1400,1500,1500,1500,1500,1500,1500
GET,GET /products/browse,22,0,42,190.80712274246088,3.340100054629147,1430.7977000717074,7697.0,0.7610693927562049,0.0,44,89,110,120,590,940,1400,1400,1400,1400,1400
,Aggregated,367,0,120,387.7955645767525,2.1567000076174736,2122.0278999535367,26016.1689373297,12.696021233705782,0.0,120,490,590,660,1100,1400,1700,1900,2100,2100,2100
