Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /ecosim/ (simulation),93,0,3000,2854.3008602129157,514.9014999624342,4195.728200022131,7583.075268817204,1.5644946475646069,0.0,3000,3200,3300,3400,3800,3800,4100,4200,4200,4200,4200
GET,GET /ecosim/municipalities,40,0,1300,1316.605372511549,43.084500008262694,2717.8566000657156,135135.0,0.6729009236837019,0.0,1300,1600,1800,1800,2000,2100,2700,2700,2700,2700,2700
GET,GET /ecosim/provinces,38,0,1700,1811.0990815759196,35.49899999052286,3450.031799962744,5120.0,0.6392558774995168,0.0,1800,2200,2300,2400,2900,3400,3500,3500,3500,3500,3500
GET,GET /energyhub/map-data,102,0,1200,1241.9739509784324,83.73990003019571,2942.6289999391884,25371.0,1.7158973553934398,0.0,1300,1600,1800,1800,2200,2400,2500,2700,2900,2900,2900
GET,GET /energyhub/overview,106,0,1400,1347.909290565371,4.264799994416535,2719.5255000842735,827.0,1.78318744776181,0.0,1400,1600,1800,1900,2100,2400,2600,2600,2700,2700,2700
GET,GET /energyhub/trends,103,0,1700,1658.0895067947617,44.81390002183616,3467.2846000175923,3902.0,1.7327198784855324,0.0,1700,2100,2400,2500,2900,3000,3400,3400,3500,3500,3500
GET,GET /geospatial/centroids,68,0,1300,1373.3912205857719,37.27430000435561,2722.4479001015425,10837.0,1.1439315702622932,0.0,1400,1700,2100,2100,2400,2500,2700,2700,2700,2700,2700
GET,GET /geothermal/plants,34,0,1600,1564.4659352906542,5.252399947494268,3220.333000062965,22377.0,0.5719657851311466,0.0,1600,2100,2300,2400,2700,3000,3200,3200,3200,3200,3200
GET,GET /map/coverage,75,0,1300,1323.7484160019085,45.37579999305308,2706.4636000432074,88.0,1.261689231906941,0.0,1300,1600,1700,1900,2200,2400,2700,2700,2700,2700,2700
GET,GET /map/solar,71,0,1700,1677.9944915504811,83.75590003561229,3467.755399993621,144659.0,1.194399139538571,0.0,1700,1900,2100,2400,2700,3000,3400,3500,3500,3500,3500
GET,GET /products/browse,35,0,1700,1608.6795628536493,3.643500036559999,3466.9595999876037,7697.0,0.5887883082232391,0.0,1700,2000,2300,2400,2700,3000,3500,3500,3500,3500,3500
,Aggregated,765,0,1600,1632.1357864046506,3.643500036559999,4195.728200022131,28009.299346405227,12.869230165450798,0.0,1600,1900,2200,2400,2900,3200,3600,3800,4200,4200,4200
