endpoint,method,path,params,n,min_ms,mean_ms,p50_ms,p95_ms,max_ms,statuses,all_2xx,threshold_ms,within_threshold,errors
health,GET,/health,{},30,1.2,4.8,1.8,3.6,84.7,200,True,500,True,
health_detailed,GET,/health/detailed,{},30,174.2,191.3,183.0,214.1,403.3,200,True,5000,True,
energyhub_overview,GET,/energyhub/overview,{},30,4.2,6.3,5.9,8.6,9.7,200,True,2000,True,
energyhub_forecast,GET,/energyhub/forecast,{'metric': 'consumption'},30,2.3,3.7,3.5,6.2,6.4,200,True,2000,True,
energyhub_trends,GET,/energyhub/trends,{},30,5.3,6.8,6.3,9.6,10.5,200,True,2000,True,
energyhub_map_data,GET,/energyhub/map-data,{},30,36.5,37.5,37.1,39.4,39.5,200,True,2000,True,
energyhub_source_breakdown,GET,/energyhub/source-breakdown,{},30,1.9,2.7,2.5,3.7,7.5,200,True,2000,True,
energyhub_grid_breakdown,GET,/energyhub/grid-breakdown,{},30,2.1,3.1,2.7,5.7,5.7,200,True,2000,True,
energyhub_model_comparison,GET,/energyhub/model-comparison,{},30,3.4,4.5,4.2,5.9,6.2,200,True,2000,True,
energyhub_provincial_demand,GET,/energyhub/provincial-demand,{},30,3.5,4.9,4.7,7.3,7.3,200,True,2000,True,
ecosim_municipalities,GET,/ecosim/municipalities,{},30,42.0,49.7,44.1,109.2,136.3,200,True,2000,True,
ecosim_provinces,GET,/ecosim/provinces,{},30,35.7,37.3,36.6,40.0,42.1,200,True,2000,True,
geothermal_plants,GET,/geothermal/plants,{},30,2.2,3.5,3.3,5.6,6.2,200,True,2000,True,
geothermal_municipality,GET,/geothermal/5441,{},30,211.8,222.1,219.1,239.3,239.9,200,True,2000,True,
geospatial_climate,GET,/geospatial/climate,"{'geo_id': 5441, 'level': 'municipality'}",30,42.1,45.1,44.9,48.0,48.6,200,True,2000,True,
map_coverage,GET,/map/coverage,{},30,36.7,38.4,38.0,40.9,41.3,200,True,2000,True,
map_solar,GET,/map/solar,{},30,50.6,57.1,57.7,60.4,60.9,200,True,2000,True,
products_recommend,GET,/products/recommend,{'energy_type': 'solar'},30,7.5,13.1,13.8,19.1,19.5,200,True,2000,True,
forecast_models,GET,/forecast/models,{},30,72.3,82.2,78.5,103.4,154.3,200,True,2000,True,
ecosim_simulation,GET,/ecosim/,"{'municipality_id': 5441, 'monthly_consumption': 350, 'monthly_bill': 5000}",5,448.2,450.2,449.5,454.5,454.5,200,True,3000,True,
ecosim_ai,GET,/ecosim/ai,"{'municipality_id': 5441, 'monthly_consumption': 350, 'monthly_bill': 5000}",5,444.1,458.0,451.3,475.9,475.9,200,True,5000,True,
energyhub_ai_insight,GET,/energyhub/ai-insight,{'use_llm': 'true'},5,42.0,676.8,44.3,3207.9,3207.9,"200,401",False,5000,False,
energyhub_map_explanation,GET,/energyhub/map-explanation,{'metric': 'renewable_potential'},5,110.7,113.4,111.4,120.7,120.7,200,True,5000,True,
db:setup,-,-,{},0,0,0,0,0,0,setup-fail,False,0,False,No module named 'app'
