Discovered ids: {'municipality_id': 5441, 'municipality_name': 'ABORLAN', 'province_id_from_muni': None, 'province_id': 327, 'province_name': 'ABRA'}
      TC-API-001    GET /health                                              -> 200 PASS (4ms)
     TC-API-001b    GET /health/detailed                                     -> 200 PASS (828ms)
       TC-ES-001    GET /ecosim/municipalities                               -> 200 PASS (65ms)
      TC-ES-001b    GET /ecosim/provinces                                    -> 200 PASS (45ms)
      TC-ES-001c    GET /ecosim/barangays                                    -> 200 PASS (171ms)
       TC-ES-002    GET /ecosim/                                             -> 200 PASS (836ms)
       TC-ES-003    GET /ecosim/                                             -> 422 PASS (131ms)
       TC-ES-004    GET /ecosim/                                             -> 404 PASS (82ms)
      TC-ES-004b    GET /ecosim/                                             -> 422 PASS (10ms)
       TC-ES-010    GET /ecosim/ai                                           -> 200 PASS (516ms)
       TC-ES-011    GET /ecosim/                                             -> 200 PASS (5198ms)
      TC-ES-011b    GET /ecosim/                                             -> 422 PASS (9ms)
       TC-ES-012   POST /ecosim/                                             -> 201 PASS (5180ms)
      TC-ES-012b   POST /ecosim/                                             -> 422 PASS (373ms)
       TC-ES-013   POST /ecosim/                                             -> 422 PASS (56ms)
       TC-EH-001    GET /energyhub/overview                                  -> 200 PASS (657ms)
       TC-EH-002    GET /energyhub/trends                                    -> 200 PASS (67ms)
       TC-EH-004    GET /energyhub/forecast                                  -> 200 PASS (50ms)
       TC-EH-005    GET /energyhub/forecast                                  -> 200 PASS (14ms)
       TC-EH-006    GET /energyhub/map-data                                  -> 200 PASS (1167ms)
       TC-EH-007    GET /energyhub/source-breakdown                          -> 200 PASS (10ms)
       TC-EH-008    GET /energyhub/grid-breakdown                            -> 200 PASS (6ms)
       TC-EH-009    GET /energyhub/ai-insight                                -> 200 PASS (13ms)
       TC-EH-010    GET /energyhub/forecast                                  -> 422 PASS (7ms)
      TC-EH-010b    GET /energyhub/model-comparison                          -> 422 PASS (9ms)
       TC-EH-011    GET /energyhub/model-comparison                          -> 200 PASS (11ms)
       TC-EH-012    GET /energyhub/provincial-demand                         -> 200 PASS (14ms)
       TC-EH-013    GET /energyhub/municipal-demand/327                      -> 200 PASS (261ms)
       TC-EH-014    GET /energyhub/irena/overview                            -> 200 PASS (42ms)
       TC-EH-015    GET /energyhub/irena/capacity                            -> 200 PASS (71ms)
       TC-EH-016    GET /energyhub/irena/generation                          -> 200 PASS (51ms)
       TC-EH-017    GET /energyhub/irena/renewable-share                     -> 200 PASS (22ms)
       TC-EH-018    GET /energyhub/meralco-rate                              -> 200 PASS (14ms)
       TC-EH-019    GET /energyhub/solar-atlas                               -> 200 PASS (47ms)
       TC-EH-020    GET /energyhub/map-explanation                           -> 200 PASS (205ms)
       TC-EH-021   POST /energyhub/analyze-chart                             -> 200 PASS (151ms)
      TC-GEO-001    GET /geothermal/plants                                   -> 200 PASS (51ms)
      TC-GEO-002    GET /geothermal/5441                                     -> 200 PASS (292ms)
      TC-GEO-003    GET /geothermal/ecosim/geothermal                        -> 200 PASS (246ms)
      TC-GEO-004    GET /geothermal/ecohub/geothermal-summary                -> 200 PASS (514ms)
      TC-GEO-005    GET /geothermal/999999                                   -> 404 PASS (88ms)
       TC-GS-001    GET /geospatial/centroids                                -> 200 PASS (190ms)
       TC-GS-002    GET /geospatial/centroids/municipality/5441              -> 200 PASS (171ms)
