fold_end,predict_year,model,actual,predicted,abs_pct_err
2014,2015,Linear Trend,82413.0,78534.6,4.706
2014,2015,Naive w/ Drift,82413.0,79471.9,3.569
2014,2015,Holt,82413.0,79579.1,3.439
2014,2015,"ARIMA(1,1,1)",82413.0,79440.3,3.607
2015,2016,Linear Trend,90798.0,81977.1,9.715
2015,2016,Naive w/ Drift,90798.0,84869.0,6.53
2015,2016,Holt,90798.0,84209.0,7.257
2015,2016,"ARIMA(1,1,1)",90798.0,84847.2,6.554
2016,2017,Linear Trend,94370.0,86874.3,7.943
2016,2017,Naive w/ Drift,94370.0,93710.1,0.699
2016,2017,Holt,94370.0,95665.6,1.373
2016,2017,"ARIMA(1,1,1)",94370.0,93676.1,0.735
2017,2018,Linear Trend,99765.0,91502.2,8.282
2017,2018,Naive w/ Drift,99765.0,97329.2,2.442
2017,2018,Holt,99765.0,99105.0,0.662
2017,2018,"ARIMA(1,1,1)",99765.0,97299.7,2.471
2018,2019,Linear Trend,106041.0,96384.2,9.107
2018,2019,Naive w/ Drift,106041.0,102886.6,2.975
2018,2019,Holt,106041.0,104817.5,1.154
2018,2019,"ARIMA(1,1,1)",106041.0,102856.8,3.003
2019,2020,Linear Trend,101756.0,101655.1,0.099
2019,2020,Naive w/ Drift,101756.0,109359.8,7.473
2019,2020,Holt,101756.0,111436.9,9.514
2019,2020,"ARIMA(1,1,1)",101756.0,109316.1,7.43
2020,2021,Linear Trend,106115.0,104865.5,1.177
2020,2021,Naive w/ Drift,106115.0,104627.5,1.402
2020,2021,Holt,106115.0,104764.5,1.273
2020,2021,"ARIMA(1,1,1)",106115.0,104579.7,1.447
