endpoint,method,path,params,n,min_ms,mean_ms,p50_ms,p95_ms,max_ms,statuses,all_2xx,threshold_ms,within_threshold,errors
health,GET,/health,{},30,2.4,3.6,3.0,4.0,19.1,200,True,500,True,
health_detailed,GET,/health/detailed,{},30,233.5,260.7,237.2,250.7,893.1,200,True,5000,True,
energyhub_overview,GET,/energyhub/overview,{},30,4.1,5.5,5.4,7.0,7.6,200,True,2000,True,
energyhub_forecast,GET,/energyhub/forecast,{'metric': 'consumption'},30,2.4,3.4,3.3,4.8,5.0,200,True,2000,True,
energyhub_trends,GET,/energyhub/trends,{},30,5.9,7.2,7.1,9.2,9.2,200,True,2000,True,
energyhub_map_data,GET,/energyhub/map-data,{},30,39.2,41.1,41.0,42.6,44.0,200,True,2000,True,
energyhub_source_breakdown,GET,/energyhub/source-breakdown,{},30,2.3,3.4,3.3,5.8,6.4,200,True,2000,True,
energyhub_grid_breakdown,GET,/energyhub/grid-breakdown,{},30,2.3,3.2,3.0,4.4,4.6,200,True,2000,True,
energyhub_model_comparison,GET,/energyhub/model-comparison,{},30,3.8,5.2,5.1,6.5,8.5,200,True,2000,True,
energyhub_provincial_demand,GET,/energyhub/provincial-demand,{},30,3.9,4.8,4.7,6.0,6.5,200,True,2000,True,
ecosim_municipalities,GET,/ecosim/municipalities,{},30,46.7,50.1,49.0,52.4,68.7,200,True,2000,True,
ecosim_provinces,GET,/ecosim/provinces,{},30,39.0,40.5,40.0,43.1,43.4,200,True,2000,True,
geothermal_plants,GET,/geothermal/plants,{},30,2.9,4.6,4.5,5.9,7.0,200,True,2000,True,
geothermal_municipality,GET,/geothermal/5441,{},30,276.3,294.9,286.4,324.5,361.0,200,True,2000,True,
geospatial_climate,GET,/geospatial/climate,"{'geo_id': 5441, 'level': 'municipality'}",30,46.0,47.1,47.0,48.2,48.2,200,True,2000,True,
map_coverage,GET,/map/coverage,{},30,38.0,39.0,38.9,40.3,40.5,200,True,2000,True,
map_solar,GET,/map/solar,{},30,58.2,60.1,59.2,61.5,84.8,200,True,2000,True,
products_recommend,GET,/products/recommend,{'energy_type': 'solar'},30,7.3,8.2,8.1,9.3,9.6,200,True,2000,True,
forecast_models,GET,/forecast/models,{},30,2.5,3.1,3.0,4.0,4.5,401,False,2000,False,
ecosim_simulation,GET,/ecosim/,"{'municipality_id': 5441, 'monthly_consumption': 350, 'monthly_bill': 5000}",5,542.8,547.0,545.9,553.3,553.3,200,True,3000,True,
ecosim_ai,GET,/ecosim/ai,"{'municipality_id': 5441, 'monthly_consumption': 350, 'monthly_bill': 5000}",5,598.7,611.8,612.9,628.3,628.3,200,True,5000,True,
energyhub_ai_insight,GET,/energyhub/ai-insight,{'use_llm': 'true'},5,38.9,638.9,39.1,3038.0,3038.0,"200,401",False,5000,False,
energyhub_map_explanation,GET,/energyhub/map-explanation,{'metric': 'renewable_potential'},5,132.2,137.6,136.0,144.9,144.9,200,True,5000,True,
db:setup,-,-,{},0,0,0,0,0,0,setup-fail,False,0,False,No module named 'app'
