Found 87 known vulnerabilities in 15 packages
Name          Version ID                  Fix Versions
------------- ------- ------------------- ------------
cryptography  49.0.0  PYSEC-2026-3552     50.0.0
ecdsa         0.19.2  PYSEC-2026-1325
h2            4.3.0   PYSEC-2026-3628     4.4.1
mistune       3.2.1   PYSEC-2026-2652     3.3.0
mistune       3.2.1   PYSEC-2026-2217     3.3.0
mistune       3.2.1   PYSEC-2026-2214     3.3.0
mistune       3.2.1   PYSEC-2026-2215     3.3.0
mistune       3.2.1   PYSEC-2026-2212     3.3.0
mistune       3.2.1   PYSEC-2026-2216     3.3.0
mistune       3.2.1   PYSEC-2026-2213     3.3.0
mistune       3.2.1   PYSEC-2026-2218     3.3.0
mistune       3.2.1   PYSEC-2026-2211     3.3.0
mistune       3.2.1   PYSEC-2026-2210     3.3.0
mistune       3.2.1   PYSEC-2026-2652     3.3.0
mistune       3.2.1   PYSEC-2026-2216     3.3.0
mistune       3.2.1   PYSEC-2026-2215     3.3.0
mistune       3.2.1   PYSEC-2026-2210     3.3.0
mistune       3.2.1   PYSEC-2026-2214     3.3.0
mistune       3.2.1   PYSEC-2026-2217     3.3.0
mistune       3.2.1   PYSEC-2026-2218     3.3.0
mistune       3.2.1   PYSEC-2026-2213     3.3.0
mistune       3.2.1   PYSEC-2026-2211     3.3.0
pillow        11.3.0  PYSEC-2026-165      12.2.0
pillow        11.3.0  PYSEC-2026-165      12.2.0
pillow        11.3.0  PYSEC-2026-2250     12.2.0
pillow        11.3.0  PYSEC-2026-2253     12.3.0
pillow        11.3.0  PYSEC-2026-2251     12.2.0
pillow        11.3.0  PYSEC-2026-2255     12.3.0
pillow        11.3.0  PYSEC-2026-2257     12.3.0
pillow        11.3.0  PYSEC-2026-2256     12.3.0
pillow        11.3.0  PYSEC-2026-2254     12.3.0
pillow        11.3.0  PYSEC-2026-2252     12.2.0
pillow        11.3.0  PYSEC-2026-2249     12.1.1
pillow        11.3.0  PYSEC-2026-2874     12.2.0
pillow        11.3.0  PYSEC-2026-3453     12.3.0
pillow        11.3.0  PYSEC-2026-3451     12.3.0
pillow        11.3.0  PYSEC-2026-2254     12.3.0
pillow        11.3.0  PYSEC-2026-2253     12.3.0
pillow        11.3.0  PYSEC-2026-2256     12.3.0
pillow        11.3.0  PYSEC-2026-2255     12.3.0
pillow        11.3.0  PYSEC-2026-3451     12.3.0
pillow        11.3.0  PYSEC-2026-3453     12.3.0
pillow        11.3.0  PYSEC-2026-3454     12.3.0
pillow        11.3.0  PYSEC-2026-3495     12.3.0
pillow        11.3.0  PYSEC-2026-3496     12.3.0
pillow        11.3.0  PYSEC-2026-3494     12.3.0
pillow        11.3.0  PYSEC-2026-3493     12.3.0
pip           24.3.1  PYSEC-2026-196      26.1.2
pip           24.3.1  PYSEC-2026-1795     25.3
pip           24.3.1  PYSEC-2026-1796     26.0
pip           24.3.1  PYSEC-2026-196      26.1.2
pip           24.3.1  PYSEC-2026-2875     26.1
pip           24.3.1  PYSEC-2026-2876     26.1
pip           24.3.1  PYSEC-2026-3721     26.2
pyasn1        0.6.3   PYSEC-2026-3456     0.6.4
pyasn1        0.6.3   PYSEC-2026-3457     0.6.4
pyasn1        0.6.3   PYSEC-2026-3455     0.6.4
pyasn1        0.6.3   PYSEC-2026-3455     0.6.4
python-dotenv 1.0.1   PYSEC-2026-2270     1.2.2
python-jose   3.3.0   PYSEC-2024-233      3.4.0
python-jose   3.3.0   PYSEC-2024-232      3.4.0
python-jose   3.3.0   PYSEC-2024-232      3.4.0
python-jose   3.3.0   PYSEC-2024-233      3.4.0
python-jose   3.3.0   PYSEC-2025-185
setuptools    81.0.0  PYSEC-2026-3447     83.0.0
setuptools    81.0.0  PYSEC-2026-3447     83.0.0
starlette     0.38.6  PYSEC-2026-161      1.0.1
starlette     0.38.6  PYSEC-2026-161      1.0.1
starlette     0.38.6  PYSEC-2026-248      1.3.0
starlette     0.38.6  PYSEC-2026-249      1.3.1
starlette     0.38.6  PYSEC-2026-248      1.3.0
starlette     0.38.6  PYSEC-2026-1943     0.40.0
starlette     0.38.6  PYSEC-2026-1941     0.47.2
starlette     0.38.6  PYSEC-2026-2281     1.1.0
starlette     0.38.6  PYSEC-2026-2280     1.1.0
torch         2.12.0  PYSEC-2025-194      2.13.0
tornado       6.5.7   GHSA-wwv5-g3v4-889x 6.5.8
tornado       6.5.7   GHSA-8423-8fgw-73vq 6.5.8
tornado       6.5.7   CVE-2026-82397      6.5.8
transformers  4.57.6  PYSEC-2025-217
transformers  4.57.6  PYSEC-2026-2290
transformers  4.57.6  PYSEC-2026-2288     5.0.0
transformers  4.57.6  PYSEC-2026-2289     5.3.0
transformers  4.57.6  PYSEC-2026-2290     5.5.0
transformers  4.57.6  CVE-2026-9856       5.10.0
ujson         5.12.1  PYSEC-2026-2294     5.13.0
ujson         5.12.1  PYSEC-2026-2294     5.13.0
