lat,lon,heat_flow_mw_m2,elevation,environment
0.0,131.27,95.3952,,[offshore (continental)]
0.53333,123.35,68.1,,[onshore (continental)]
0.5453,117.5794,90.0,0.0,[onshore (continental)]
0.66667,123.11667,12.5,,[onshore (continental)]
0.66667,123.13333,35.1,,[onshore (continental)]
0.66667,123.15,46.1,,[onshore (continental)]
0.99,131.45,49.7896,,[offshore (continental)]
1.0,131.27,114.6416,,[offshore (continental)]
1.03,131.01,70.2912,,[offshore (continental)]
1.07,131.59,120.4992,,[offshore (continental)]
1.08,130.88,48.116,,[offshore (continental)]
1.15,131.18,98.7424,,[offshore (continental)]
1.16,131.01,98.7424,,[offshore (continental)]
1.33,131.1,79.9144,,[offshore (continental)]
1.33,131.25,74.0568,,[offshore (continental)]
1.35,131.13,87.4456,,[offshore (continental)]
1.36,131.1,101.6712,,[offshore (continental)]
1.36,131.19,61.9232,,[offshore (continental)]
1.37,131.49,79.496,,[offshore (continental)]
1.39,131.08,130.1224,,[offshore (continental)]
1.4,131.05,76.1488,,[offshore (continental)]
1.4,131.06,138.072,,[offshore (continental)]
1.4,131.08,80.3328,,[offshore (continental)]
1.41667,125.1,62.2,,[onshore (continental)]
1.43,131.16,113.3864,,[offshore (continental)]
1.45,131.5,117.5704,,[offshore (continental)]
1.4662,121.8957,31.0,0.0,[offshore (continental)]
1.5123,121.9083,46.0,0.0,[offshore (continental)]
1.53,130.57,34.3088,,[offshore (continental)]
1.58333,125.0,11.2,,[onshore (continental)]
1.58333,125.05,223.4,,[onshore (continental)]
1.58333,125.06667,131.4,,[onshore (continental)]
1.61,130.45,31.7984,,[offshore (continental)]
1.66,130.81,57.7392,,[offshore (continental)]
1.68,130.46,46.4424,,[offshore (continental)]
1.72028,118.53528,46.8,,[offshore (continental)]
1.7313,121.9735,37.0,0.0,[offshore (continental)]
1.79694,118.12028,58.5,,[offshore (continental)]
1.8313,122.0038,59.0,0.0,[offshore (continental)]
1.86,132.97,67.3624,,[offshore (continental)]
1.8807,122.0177,63.0,0.0,[offshore (continental)]
1.9862,122.0503,75.0,0.0,[offshore (continental)]
2.1127,122.0872,73.0,0.0,[offshore (continental)]
2.1655,122.1023,43.0,0.0,[offshore (continental)]
2.2063,122.1153,101.0,0.0,[offshore (continental)]
2.37556,117.95583,79.8,,[onshore (continental)]
2.43613,110.08061,58.42698435,-44.0,[offshore (continental)]
2.5817,122.567,67.2,-5441.5,[offshore (continental)]
2.583,122.567,67.0,-5355.0,[offshore (continental)]
2.7,121.532,58.5,-5272.9,[offshore (continental)]
2.7,121.533,66.0,-5355.0,[offshore (continental)]
2.7,121.533,59.0,-5336.0,[offshore (continental)]
2.7,123.7833,47.0,-4836.0,[offshore (continental)]
