municipality_id,province_id,catchment_name,catchment_match_method,catchment_distance_m,catchment_area_km2,catchment_mean_slope_deg,catchment_relief_m,catchment_drainage_density_km_km2,catchment_hypsometric_integral,catchment_ruggedness_number,catchment_melton_ruggedness,catchment_mean_stream_slope_m_m,nearest_stream_gradient_m_m,nearest_stream_upstream_area_km2,nearest_stream_order,nearest_stream_elevation_m,distance_to_nearest_stream_m,effective_catchment_area_km2,stream_head_m,stream_feasibility_penalty,enriched_runoff_coefficient
5145,262,Lubao,nearest,6555.1,768.878,10.796,1586.0,1.04,0.1104,1.649,57.197,0.01654,0.03093,1.434,1,173.9,7126.3,0.7689,3.09,0.423,0.5914
5146,262,Lubao,nearest,17237.3,768.878,10.796,1586.0,1.04,0.1104,1.649,57.197,0.01654,0.09169,1.419,1,447.3,18234.0,0.7689,9.17,0.1,0.5914
5147,262,Lubao,nearest,11523.5,768.878,10.796,1586.0,1.04,0.1104,1.649,57.197,0.01654,0.09169,1.419,1,447.3,12644.6,0.7689,9.17,0.1,0.5914
5148,262,Lubao,within,0.0,768.878,10.796,1586.0,1.04,0.1104,1.649,57.197,0.01654,0.00666,5.005,1,25.0,521.2,0.7689,0.67,1.0,0.5914
5149,262,Lubao,within,0.0,768.878,10.796,1586.0,1.04,0.1104,1.649,57.197,0.01654,0.02028,5.284,1,49.8,29.0,0.7689,2.03,1.0,0.5914
5150,262,Lubao,nearest,28013.6,768.878,10.796,1586.0,1.04,0.1104,1.649,57.197,0.01654,1e-05,21.223,2,0.0,28016.2,0.7689,0.0,0.1,0.5914
5151,262,Lubao,nearest,32371.2,768.878,10.796,1586.0,1.04,0.1104,1.649,57.197,0.01654,0.09169,1.419,1,447.3,33230.8,0.7689,9.17,0.1,0.5914
5402,272,Lubao,nearest,7227.0,768.878,10.796,1586.0,1.04,0.1104,1.649,57.197,0.01654,0.07275,2.566,1,288.9,8541.7,0.7689,7.28,0.264,0.5914
5153,262,Lubao,within,0.0,768.878,10.796,1586.0,1.04,0.1104,1.649,57.197,0.01654,0.01407,1.326,1,48.1,138.3,0.7689,1.41,1.0,0.5914
5154,262,Lubao,nearest,21818.3,768.878,10.796,1586.0,1.04,0.1104,1.649,57.197,0.01654,1e-05,21.223,2,0.0,22270.5,0.7689,0.0,0.1,0.5914
6477,327,Lubao,nearest,17176.6,768.878,10.796,1586.0,1.04,0.1104,1.649,57.197,0.01654,1e-05,21.223,2,0.0,17861.4,0.7689,0.0,0.1,0.5914
5156,262,Lubao,nearest,3024.9,768.878,10.796,1586.0,1.04,0.1104,1.649,57.197,0.01654,0.01407,1.326,1,48.1,3580.9,0.7689,1.41,0.822,0.5914
5157,263,Angat,within,0.0,910.22,18.706,1255.9,0.79,0.309,0.992,41.628,0.02568,0.00143,1.734,1,23.8,976.7,0.9102,0.14,1.0,0.5173
5158,263,Angat,nearest,7846.2,910.22,18.706,1255.9,0.79,0.309,0.992,41.628,0.02568,1e-05,2.935,1,7.3,9021.0,0.9102,0.0,0.21,0.5173
301403000,263,Pampanga,nearest,1219.7,7842.332,9.13,1896.8,0.979,0.1138,1.857,21.419,0.01339,0.00054,1.628,1,12.0,2465.2,1.0,0.05,0.948,0.4264
5160,263,Angat,nearest,12305.0,910.22,18.706,1255.9,0.79,0.309,0.992,41.628,0.02568,1e-05,2.935,1,7.3,13027.3,0.9102,0.0,0.1,0.5173
5161,263,Angat,nearest,13570.0,910.22,18.706,1255.9,0.79,0.309,0.992,41.628,0.02568,1e-05,1.502,1,6.0,14352.6,0.9102,0.0,0.1,0.5173
5162,263,Angat,nearest,1403.7,910.22,18.706,1255.9,0.79,0.309,0.992,41.628,0.02568,0.00259,1.538,1,13.3,2271.6,0.9102,0.26,0.969,0.5173
5163,263,Pampanga,nearest,5553.7,7842.332,9.13,1896.8,0.979,0.1138,1.857,21.419,0.01339,1e-05,1.396,1,0.8,785.3,1.0,0.0,1.0,0.4264
5165,263,Angat,nearest,4893.1,910.22,18.706,1255.9,0.79,0.309,0.992,41.628,0.02568,1e-05,1.502,1,6.0,6424.4,0.9102,0.0,0.502,0.5173
6193,310,Lubao,nearest,11935.6,768.878,10.796,1586.0,1.04,0.1104,1.649,57.197,0.01654,1e-05,1.783,1,0.0,6007.3,0.7689,0.0,0.549,0.5914
5167,263,Angat,nearest,6192.2,910.22,18.706,1255.9,0.79,0.309,0.992,41.628,0.02568,1e-05,1.502,1,6.0,6872.7,0.9102,0.0,0.452,0.5173
5168,263,Marikina_Pasig,nearest,11376.4,3960.976,7.225,2154.9,0.976,0.0722,2.103,34.239,0.01268,0.00416,2.734,1,31.2,12024.9,1.0,0.42,0.1,0.4217
301412000,263,Marikina_Pasig,nearest,9799.7,3960.976,7.225,2154.9,0.976,0.0722,2.103,34.239,0.01268,0.00416,2.734,1,31.2,10539.7,1.0,0.42,0.1,0.4217
5170,263,Angat,within,0.0,910.22,18.706,1255.9,0.79,0.309,0.992,41.628,0.02568,0.0608,4.976,1,227.9,354.5,0.9102,6.08,1.0,0.5173
5171,263,Marikina_Pasig,nearest,12241.5,3960.976,7.225,2154.9,0.976,0.0722,2.103,34.239,0.01268,0.00407,1.395,1,15.4,13200.0,1.0,0.41,0.1,0.4217
5172,263,Angat,nearest,5763.7,910.22,18.706,1255.9,0.79,0.309,0.992,41.628,0.02568,1e-05,2.935,1,7.3,6391.3,0.9102,0.0,0.506,0.5173
5173,263,Angat,nearest,10241.0,910.22,18.706,1255.9,0.79,0.309,0.992,41.628,0.02568,1e-05,2.164,1,0.0,7876.6,0.9102,0.0,0.339,0.5173
5381,271,Angat,nearest,92.0,910.22,18.706,1255.9,0.79,0.309,0.992,41.628,0.02568,1e-05,7.05,1,6.3,1582.8,0.9102,0.0,1.0,0.5173
5175,263,Angat,nearest,1099.5,910.22,18.706,1255.9,0.79,0.309,0.992,41.628,0.02568,1e-05,1.502,1,6.0,2718.3,0.9102,0.0,0.919,0.5173
4960,253,Pampanga,within,0.0,7842.332,9.13,1896.8,0.979,0.1138,1.857,21.419,0.01339,0.00107,6.451,1,21.4,1332.6,1.0,0.11,1.0,0.4264
5177,263,Marikina_Pasig,nearest,6257.5,3960.976,7.225,2154.9,0.976,0.0722,2.103,34.239,0.01268,0.01673,1.915,1,119.5,6680.1,1.0,1.67,0.473,0.4217
6335,321,Pampanga,within,0.0,7842.332,9.13,1896.8,0.979,0.1138,1.857,21.419,0.01339,0.00215,1.697,1,22.5,592.8,1.0,0.22,1.0,0.4264
5691,288,Angat,within,0.0,910.22,18.706,1255.9,0.79,0.309,0.992,41.628,0.02568,0.00215,5.715,1,28.4,316.2,0.9102,0.22,1.0,0.5173
5113,258,Angat,nearest,6677.9,910.22,18.706,1255.9,0.79,0.309,0.992,41.628,0.02568,0.00998,1.569,1,48.0,8465.1,0.9102,1.0,0.273,0.5173
5164,263,Angat,within,0.0,910.22,18.706,1255.9,0.79,0.309,0.992,41.628,0.02568,0.02775,4.475,1,432.3,1174.6,0.9102,2.77,1.0,0.5173
5181,264,Pampanga,within,0.0,7842.332,9.13,1896.8,0.979,0.1138,1.857,21.419,0.01339,0.00045,15.859,2,21.5,383.7,1.0,0.04,1.0,0.4264
