municipality_id,province_id,centroid_lat,centroid_lon,era5_u10_ms,era5_v10_ms,era5_wind_speed_10m_ms,data_source
5145,262,14.721691,120.48562,-0.8815,-0.5967,1.0645,ERA5 (Copernicus)
5146,262,14.589045,120.414975,-1.2752,-0.6207,1.4182,ERA5 (Copernicus)
5147,262,14.66731,120.487347,-1.0387,-0.6139,1.2066,ERA5 (Copernicus)
5148,262,14.878801,120.426097,-0.7223,-0.4842,0.8695,ERA5 (Copernicus)
5149,262,14.817195,120.426948,-0.7574,-0.5169,0.917,ERA5 (Copernicus)
5150,262,14.537538,120.562328,-1.3456,-0.6006,1.4735,ERA5 (Copernicus)
5151,262,14.475444,120.50878,-1.5094,-0.639,1.6391,ERA5 (Copernicus)
5402,272,14.704238,120.329273,-0.9304,-0.5231,1.0674,ERA5 (Copernicus)
5153,262,14.790487,120.486567,-0.779,-0.5659,0.9629,ERA5 (Copernicus)
5154,262,14.588285,120.531503,-1.2356,-0.6199,1.3824,ERA5 (Copernicus)
6477,327,14.628755,120.519423,-1.1324,-0.6201,1.291,ERA5 (Copernicus)
5156,262,14.761036,120.491939,-0.7945,-0.5858,0.9871,ERA5 (Copernicus)
5157,263,14.927682,121.007067,-1.0219,-0.3963,1.096,ERA5 (Copernicus)
5158,263,14.829168,120.907212,-0.772,-0.4279,0.8827,ERA5 (Copernicus)
301403000,263,14.959675,120.884523,-0.8824,-0.4506,0.9908,ERA5 (Copernicus)
5160,263,14.800289,120.935099,-0.7547,-0.398,0.8532,ERA5 (Copernicus)
5161,263,14.767329,120.872753,-0.6915,-0.4579,0.8294,ERA5 (Copernicus)
5162,263,14.928691,120.928533,-0.9133,-0.4296,1.0093,ERA5 (Copernicus)
5163,263,14.901916,120.7695,-0.6869,-0.5135,0.8576,ERA5 (Copernicus)
5165,263,14.844204,120.878226,-0.7649,-0.4523,0.8886,ERA5 (Copernicus)
6193,310,14.816181,120.732987,-0.6637,-0.5659,0.8722,ERA5 (Copernicus)
5167,263,14.831062,120.824577,-0.7127,-0.4969,0.8689,ERA5 (Copernicus)
