province_id,province_name,centroid_lat,centroid_lon,era5_u10_ms,era5_v10_ms,era5_wind_speed_10m_ms,data_source
252,ILOCOS NORTE,18.204449,120.729885,-1.2983,-0.103,1.3023,ERA5 (Copernicus)
253,ILOCOS SUR,17.243883,120.547727,-0.4341,0.1557,0.4612,ERA5 (Copernicus)
254,LA UNION,16.580396,120.424423,-0.2084,0.1737,0.2712,ERA5 (Copernicus)
255,PANGASINAN,15.998453,120.313666,-0.5652,0.5075,0.7596,ERA5 (Copernicus)
256,BATANES,20.543207,121.887575,-3.7872,-1.386,4.0328,ERA5 (Copernicus)
257,CAGAYAN,18.090908,121.761418,-0.9264,-0.2867,0.9697,ERA5 (Copernicus)
258,ISABELA,16.987571,121.961214,-0.5053,-0.3013,0.5883,ERA5 (Copernicus)
259,NUEVA VIZCAYA,16.3062,121.171445,-0.421,-0.4967,0.6511,ERA5 (Copernicus)
260,QUIRINO,16.294259,121.595732,-0.0444,-0.278,0.2815,ERA5 (Copernicus)
261,AURORA,15.919789,121.697046,-0.6605,-0.9018,1.1178,ERA5 (Copernicus)
262,BATAAN,14.660858,120.45456,-1.0589,-0.6027,1.2184,ERA5 (Copernicus)
263,BULACAN,14.978693,121.057775,-1.1899,-0.4193,1.2616,ERA5 (Copernicus)
264,NUEVA ECIJA,15.619386,121.020902,-0.8636,0.0243,0.8639,ERA5 (Copernicus)
265,PAMPANGA,15.057779,120.646649,-0.6659,-0.3691,0.7614,ERA5 (Copernicus)
266,TARLAC,15.478004,120.4756,-0.5066,0.2741,0.576,ERA5 (Copernicus)
267,ZAMBALES,15.285595,120.145283,-0.4718,-0.1349,0.4907,ERA5 (Copernicus)
268,BATANGAS,13.900289,121.029855,-1.4734,-0.1102,1.4775,ERA5 (Copernicus)
269,CAVITE,14.254217,120.869058,-1.1882,-0.2647,1.2173,ERA5 (Copernicus)
270,LAGUNA,14.241145,121.367012,-1.2065,-0.5428,1.323,ERA5 (Copernicus)
272,RIZAL,14.620143,121.263201,-1.2649,-0.2015,1.2808,ERA5 (Copernicus)
273,MARINDUQUE,13.391268,121.972187,-1.0321,-1.4186,1.7543,ERA5 (Copernicus)
274,OCCIDENTAL MINDORO,12.971251,120.893188,-0.5447,-0.2328,0.5924,ERA5 (Copernicus)
275,ORIENTAL MINDORO,12.966162,121.26326,-0.3706,-0.6063,0.7106,ERA5 (Copernicus)
276,PALAWAN,9.965524,118.731879,-0.7807,-0.2748,0.8277,ERA5 (Copernicus)
277,ROMBLON,12.434757,122.235854,-1.0366,-1.0491,1.4748,ERA5 (Copernicus)
278,ALBAY,13.20967,123.614733,-0.8022,-0.5382,0.966,ERA5 (Copernicus)
279,CAMARINES NORTE,14.142069,122.725711,-1.5423,-0.7851,1.7307,ERA5 (Copernicus)
280,CAMARINES SUR,13.703762,123.261496,-1.1215,-0.803,1.3793,ERA5 (Copernicus)
281,CATANDUANES,13.783508,124.236518,-1.8058,-0.6536,1.9204,ERA5 (Copernicus)
282,MASBATE,12.295181,123.551972,-1.6068,-1.0761,1.9339,ERA5 (Copernicus)
283,SORSOGON,12.854617,123.927941,-1.5453,-1.0682,1.8785,ERA5 (Copernicus)
284,AKLAN,11.609413,122.247232,-1.2723,-0.3162,1.311,ERA5 (Copernicus)
285,ANTIQUE,11.124345,122.069597,-0.7281,-0.4325,0.8469,ERA5 (Copernicus)
286,CAPIZ,11.369908,122.633163,-0.7341,-0.5937,0.9441,ERA5 (Copernicus)
287,GUIMARAS,10.570685,122.613415,-0.757,-1.5137,1.6924,ERA5 (Copernicus)
288,ILOILO,11.006225,122.603644,-0.5477,-1.0579,1.1912,ERA5 (Copernicus)
