municipality_id,name,lat,lon,solar_score,wind_score,hydro_score,geo_score,composite_score
5145,ABUCAY,14.7213146,120.5348704,78.0,45.71,4.77,50.42,44.73
5146,BAGAC,14.596782,120.3923303,78.2,45.71,13.45,42.21,44.89
300803000,City of Balanga,14.657465,120.497722,78.0,45.71,,,61.86
5148,DINALUPIHAN,14.8673996,120.461031,77.6,45.71,1.04,61.11,46.37
5149,HERMOSA,14.8302478,120.5086406,77.8,45.71,3.11,58.22,46.21
5150,LIMAY,14.5625242,120.5949559,78.2,45.71,12.32,38.57,43.7
5151,MARIVELES,14.4355997,120.4903355,78.4,45.71,16.22,,46.78
5402,MORONG,14.5151374,121.2380858,78.2,45.71,20.21,57.53,50.41
5153,ORANI,14.8012181,120.5362038,77.8,45.71,3.47,55.78,45.69
5154,ORION,14.62157,120.5772317,78.0,45.71,9.02,,44.24
6309,PILAR,9.8640525,126.1003296,85.2,45.71,,16.03,48.98
5156,SAMAL,14.7693766,120.5421795,77.8,45.71,1.14,53.53,44.55
5157,ANGAT,14.927794,121.02914,77.6,45.71,6.65,,43.32
301402000,Balagtas,14.832972,120.909623,77.8,45.71,,,61.75
301403000,City of Baliwag,14.950873,120.889533,77.6,45.71,,,61.66
5160,BOCAUE,14.7954178,120.9253578,77.8,45.71,1.77,,41.76
5161,BULACAN,14.8415064,120.8387416,77.8,45.71,1.28,44.52,42.33
5162,BUSTOS,14.9535178,120.9188433,77.6,45.71,1.29,42.07,41.67
5163,CALUMPIT,14.9151703,120.7662073,77.6,45.71,0.62,,41.31
5165,GUIGUINTO,14.8282023,120.8786107,77.8,45.71,1.42,44.8,42.43
5166,HAGONOY,14.8355035,120.7335206,77.8,45.71,0.64,,41.38
301410000,City of Malolos,14.838202,120.817907,77.8,45.71,,,61.75
5168,MARILAO,14.7575956,120.9484672,77.8,45.71,2.37,46.61,43.12
301412000,City of Meycauayan,14.757321,120.959446,77.8,45.71,,,61.75
5170,NORZAGARAY,14.905567,121.0422641,77.6,45.71,9.04,41.57,43.48
5171,OBANDO,14.70989,120.9365149,78.0,45.71,0.83,48.73,43.32
5172,PANDI,14.8654061,120.9572464,77.8,45.71,7.32,43.87,43.67
5173,PAOMBONG,14.8363954,120.7874997,77.8,45.71,0.43,,41.31
5174,PLARIDEL,14.8863156,120.8598985,77.6,45.71,1.46,44.01,42.2
5175,PULILAN,14.9022688,120.8487904,77.6,45.71,0.87,45.13,42.33
4960,SAN ILDEFONSO,17.6249757,120.3931252,73.6,45.71,0.82,11.72,32.96
301420000,City of San Jose Del Monte,14.816581,121.082397,77.8,45.71,,,61.75
5690,SAN MIGUEL,10.7814116,122.465155,83.8,45.71,3.05,,44.19
5179,SAN RAFAEL,14.9581176,120.9636529,77.6,45.71,5.62,,42.98
301423000,Santa Maria,14.851586,120.996662,77.8,45.71,,,61.75
5164,DOÑA REMEDIOS TRINIDAD,14.9706036,121.0647854,77.6,45.71,14.1,39.02,44.11
5181,ALIAGA,15.5032754,120.8455577,76.8,45.71,1.15,51.48,43.78
5182,BONGABON,15.6321627,121.1459259,76.6,45.71,4.66,40.58,41.89
304903000,City of Cabanatuan,15.505252,120.992238,76.8,45.71,,,61.25
5184,CABIAO,15.2512658,120.8567919,77.2,45.71,1.26,48.95,43.28
5185,CARRANGLAN,15.9606628,121.0638705,76.0,45.71,21.83,29.59,43.28
5186,CUYAPO,15.778507,120.6641376,76.4,45.71,18.87,,46.99
304907000,Gabaldon,15.477953,121.272256,76.8,45.71,,,61.25
304908000,City of Gapan,15.286046,120.996219,77.0,45.71,,,61.36
5189,GENERAL MAMERTO NATIVIDAD,15.6030982,121.0508107,76.6,45.71,1.61,,41.31
304910000,General Tinio,15.335773,121.189964,77.0,45.71,,,61.36
5191,GUIMBA,15.6603499,120.7669137,76.6,45.71,1.39,44.62,42.08
5192,JAEN,15.3371423,120.9059513,77.0,45.71,1.29,50.8,43.7
5193,LAUR,15.5797175,121.1865246,76.6,45.71,7.55,40.43,42.57
5194,LICAB,15.5403458,120.7634483,76.6,45.71,0.99,49.21,43.13
5195,LLANERA,15.6624599,121.0220525,76.6,45.71,3.12,43.83,42.31
5196,LUPAO,15.8770143,120.8995214,76.2,45.71,9.56,,43.82
5209,SCIENCE CITY OF MUÑOZ,15.7135413,120.9039451,76.4,45.71,2.51,42.54,41.79
5197,NAMPICUAN,15.7321724,120.6386089,76.4,45.71,1.02,38.97,40.52
304919000,City of Palayan,15.49763,121.109844,76.8,45.71,,,61.25
5199,PANTABANGAN,15.8073911,121.1442251,76.2,45.71,39.32,34.74,48.99
5200,PEÑARANDA,15.3525981,120.999887,77.0,45.71,2.86,49.63,43.8
5101,QUEZON,17.3119421,121.6053889,74.0,45.71,5.72,,41.81
6522,RIZAL (LIWAN),17.500029,121.5870272,73.8,45.71,,,59.75
5261,SAN ANTONIO,14.9488214,120.0889405,77.6,45.71,12.77,67.88,50.99
6215,SAN ISIDRO,6.8344901,126.0871802,89.8,45.71,,14.24,49.92
5249,SAN JOSE,15.4775949,120.4639721,76.8,45.71,13.86,45.6,45.49
5206,SAN LEONARDO,15.361846,120.9580253,77.0,45.71,1.62,50.83,43.79
5351,SANTA ROSA CITY,14.2361767,121.0465854,78.6,45.71,27.32,55.37,51.75
5208,SANTO DOMINGO,15.5830203,120.8774665,76.6,45.71,1.26,,41.19
5210,TALAVERA,15.5842563,120.9183994,76.6,45.71,1.22,49.65,43.3
5211,TALUGTUG,15.7780706,120.8080405,76.4,45.71,6.86,,42.99
5212,ZARAGOZA,15.4475833,120.7935538,76.8,45.71,0.8,51.4,43.68
5214,APALIT,14.9499127,120.7588043,77.6,45.71,0.85,52.01,44.04
5215,ARAYAT,15.1504805,120.772694,77.2,45.71,1.19,,41.37
5216,BACOLOR,14.9965611,120.6513934,77.6,45.71,2.25,59.85,46.35
5217,CANDABA,15.0923632,120.8272514,77.4,45.71,0.86,48.27,43.06
5218,FLORIDABLANCA,14.9745982,120.5277236,77.6,45.71,2.86,,42.06
5219,GUAGUA,14.9654074,120.6336297,77.6,45.71,0.63,60.34,46.07
5220,LUBAO,14.9378136,120.600497,77.6,45.71,0.63,61.37,46.33
5221,MABALACAT CITY,15.1836486,120.5423934,77.2,45.71,10.9,,44.6
5222,MACABEBE,14.9081836,120.7149803,77.6,45.71,0.82,53.62,44.44
5223,MAGALANG,15.2140936,120.6616332,77.2,45.71,4.12,55.56,45.65
5224,MASANTOL,14.8928667,120.7052547,77.6,45.71,0.97,53.66,44.48
5225,MEXICO,15.0643509,120.720544,77.4,45.71,1.01,,41.37
5226,MINALIN,14.9678639,120.6839544,77.6,45.71,0.82,57.21,45.34
5227,PORAC,15.0726482,120.5430211,77.4,45.71,9.55,66.22,49.72
5817,SAN FERNANDO,10.1629017,123.7073793,84.8,45.71,41.36,,57.29
6286,SAN LUIS,8.4987859,125.7373865,87.2,45.71,,25.64,52.85
5230,SAN SIMON,14.9954506,120.7791636,77.6,45.71,0.84,51.4,43.89
5072,SANTA ANA,18.4572501,122.1421667,72.4,45.71,1.4,9.29,32.2
5978,SANTA RITA,11.4513506,124.9408762,82.8,45.71,,39.0,55.84
305421000,Sto. Tomas,15.016765,120.71693,77.4,45.71,,,61.56
305422000,Sasmuan,14.903324,120.624425,77.6,45.71,,,61.66
5235,ANAO,15.7286873,120.6266345,76.4,45.71,1.04,38.9,40.51
5236,BAMBAN,15.2733238,120.5672692,77.0,45.71,8.01,56.8,46.88
5237,CAMILING,15.6864622,120.414656,76.4,45.71,1.68,35.05,39.71
5238,CAPAS,15.3360344,120.589583,77.0,45.71,1.99,52.48,44.3
5667,CONCEPCION,11.2147066,123.1087513,83.2,45.71,6.32,,45.08
5241,GERONA,15.6069315,120.5985733,76.6,45.71,1.23,43.59,41.78
5242,LA PAZ,15.4411139,120.7288994,76.8,45.71,0.86,,41.12
5243,MAYANTOC,15.6192819,120.3779681,76.6,45.71,7.93,36.48,41.68
5244,MONCADA,15.7336884,120.5726987,76.4,45.71,1.41,37.45,40.24
5245,PANIQUI,15.6686544,120.5858177,76.4,45.71,1.06,,41.06
5246,PURA,15.6236937,120.6469386,76.6,45.71,0.82,44.05,41.79
5247,RAMOS,15.6658597,120.6397227,76.6,45.71,0.67,42.12,41.27
5248,SAN CLEMENTE,15.7121843,120.3602147,76.4,45.71,3.52,,41.88
5109,SAN MANUEL,17.0269105,121.6308091,74.4,45.71,3.34,18.13,35.4
5251,SANTA IGNACIA,15.6161567,120.4359327,76.6,45.71,6.18,,42.83
5239,CITY OF TARLAC,15.4861218,120.5893473,76.8,45.71,2.45,,41.65
5252,VICTORIA,15.5770813,120.6812475,76.6,45.71,1.1,,41.14
5249,SAN JOSE,15.4775949,120.4639721,76.8,45.71,13.86,45.6,45.49
5253,BOTOLAN,15.2889971,120.0247358,77.0,45.71,1.48,63.86,47.01
5254,CABANGAN,15.1589463,120.0554631,77.2,45.71,20.1,,47.67
5255,CANDELARIA,15.6271348,119.9301322,76.6,45.71,4.4,51.37,44.52
5256,CASTILLEJOS,14.9320671,120.2005402,77.6,45.71,4.57,55.9,45.95
