barangay_id,municipality_id,name
108594,6459,Zone 1 Poblacion
108595,6459,Zone 2 Poblacion
108596,6459,Zone 3 Poblacion
108597,6459,Zone 4 Poblacion
108598,6459,Zone 5 Poblacion
108599,6459,Zone 6 Poblacion
108600,6459,Zone 7 Poblacion
108601,6466,Benben
108602,6466,Bulbulala
108603,6466,Buli
108604,6466,Canan
108605,6466,Liguis
108606,6466,Malabbaga
108607,6466,Mudeng
108608,6466,Pidipid
108609,6466,Poblacion
108610,6466,San Gregorio
108611,6466,Toon
108612,6466,Udangan
108613,5763,Bolbolo
108614,5763,Brookside
108615,5763,Dalit
108616,5763,Dintan
108617,5763,Gapang
108618,5763,Kinabiti
108619,5763,Maliplipit
108620,5763,Nagcanasan
108621,5763,Nanangduan
108622,5763,Narnara
108623,5763,Ocup
108624,5763,Pang-ot
108625,5763,Patad
108626,5763,Poblacion
108627,5763,San Juan East
108628,5763,San Juan West
108629,5763,South Balioag
108630,5763,Tikitik
108631,5763,Villavieja
108632,5999,Abualan
108633,5999,Ba-ug
108634,5999,Badas
108635,5999,Cabcaborao
108636,5999,Colabaoan
108637,5999,Culiong
108638,5999,Daoidao
108639,5999,Guimba
108640,5999,Lam-ag
108641,5999,Lumobang
108642,5999,Nangobongan
108643,5999,Pattaoig
108644,5999,Poblacion North
108645,5999,Poblacion South
108646,5999,Quidaoen
108647,5999,Sabangan
108648,5999,Silet
108649,5999,Supi-il
108650,5999,Tagaytay
108651,5410,Abilan
108652,5410,Agong-ong
108653,5410,Alubijid
108654,5410,Guinabsan
108655,5410,Lower Olave
108656,5410,Macalang
108657,5410,Malapong
108658,5410,Malpoc
108659,5410,Manapa
108660,5410,Matabao
108661,5410,Poblacion 1
108662,5410,Poblacion 10
108663,5410,Poblacion 2
108664,5410,Poblacion 3
108665,5410,Poblacion 4
108666,5410,Poblacion 5
108667,5410,Poblacion 6
108668,5410,Poblacion 7
108669,5410,Poblacion 8
108670,5410,Poblacion 9
108671,5410,Rizal
108672,5410,Sacol
108673,5410,Sangay
108674,5410,Simbalan
108675,5410,Talo-ao
108676,6222,Cahayagan
108677,6222,Gosoon
108678,6222,Manoligao
108679,6222,Poblacion
108680,6222,Rojales
108681,6222,San Agustin
108682,6222,Tagcatong
