geo_name,geo_psgc,geo_province_psgc,lat,lon
City of Calbayog,806003000,806000000,12.183534,124.577505
City of Catbalogan,806005000,806000000,11.824335,124.88419
Paranas,806022000,806000000,11.854716,125.09188
Asuncion,1102301000,1102300000,7.653671,125.805387
City of Panabo,1102315000,1102300000,7.347721,125.609574
Laak,1108202000,1108200000,7.889336,125.814647
Maragusan,1108205000,1108200000,7.360931,126.166577
City of Manila,1380600000,1303900000,14.601807,120.987158
City of Caloocan,1380100000,1307500000,14.706326,121.018106
City of Malabon,1380400000,1307500000,14.682292,120.958399
City of Navotas,1380900000,1307500000,14.667799,120.944157
City of Cotabato,1908703000,1908700000,7.215262,124.230879
Datu Odin Sinsuat,1908705000,1908700000,7.109921,124.224945
Kabuntalan,1908706000,1908700000,7.124202,124.368698
Sultan Kudarat,1908710000,1908700000,7.277249,124.30043
Gen. S.K. Pendatun,1908811000,1908800000,6.854592,124.753157
Shariff Aguak,1908820000,1908800000,6.878857,124.468122
Sultan Sa Barongis,1908823000,1908800000,6.911859,124.62825
