municipality_id,province_id,name
1907003001,285,San Jose de Buenavista
1907003002,303,Impasugong
1907003003,263,Bulakan
1907003004,286,Maayon
1907003005,286,Sapian
1907003006,269,General Mariano Alvarez
1907003007,313,Pigcawayan
1907003008,324,Datu Montawal
1907003009,324,Datu Saudi-Ampatuan
1907003010,324,General Salipada K. Pendatun
1907003011,324,Sultan Sumagka
1907003012,259,Alfonso Castañeda
1907003013,272,Jalajala
1907003014,316,Senator Ninoy Aquino
1907003015,325,Banguingui
1907003016,300,Leon B. Postigo
1907003017,300,President Manuel A. Roxas
1907003018,300,Sergio Osmeña Sr
1907003019,340,Manila
