municipality_id,name,lat,lon
6020,PRES. MANUEL A. ROXAS,8.423772,123.187709
6217,ALAMADA,7.473245,124.58281
6224,KABACAN,7.122099,124.846254
6223,CITY OF KIDAPAWAN,7.033375,125.061923
6225,LIBUNGAN,7.28943,124.544792
6227,MAGPET,7.134533,125.159436
6228,MAKILALA,6.930687,125.111787
6229,MATALAM,7.181336,124.94564
6230,MIDSAYAP,7.184438,124.53731
6226,M'LANG,6.947923,124.906632
6231,PIGKAWAYAN,7.340726,124.455303
6232,PIKIT,,
6234,TULUNAN,6.828664,124.951759
6219,ANTIPAS,7.264583,125.063662
6221,BANISILAN,7.498368,124.711968
6218,ALEOSAN,7.194047,124.623797
6220,ARAKAN,7.349035,125.170728
6264,SEN. NINOY AQUINO,6.431189,124.346717
