unnamed_0,2014,2015,2016,2017,2018,2019,2014_numeric,2015_numeric,2016_numeric,2017_numeric,2018_numeric,2019_numeric,source_pdf,detected_category
Households,"8,488","8,731","9,035","9,192","9,431","9,711",8488.0,8731.0,9035.0,9192.0,9431.0,9711.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
Oil,862,973,"1,122","1,159","1,255","1,312",862.0,973.0,1122.0,1159.0,1255.0,1312.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
LPG,769,888,"1,043","1,083","1,176","1,240",769.0,888.0,1043.0,1083.0,1176.0,1240.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
Kerosene,93,85,79,75,79,72,93.0,85.0,79.0,75.0,79.0,72.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
Biomass,"5,823","5,802","5,709","5,731","5,746","5,772",5823.0,5802.0,5709.0,5731.0,5746.0,5772.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
Fuelwood,"4,290","4,259","4,131","4,119","4,107","4,100",4290.0,4259.0,4131.0,4119.0,4107.0,4100.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
Charcoal,946,973,"1,027","1,067","1,110","1,157",946.0,973.0,1027.0,1067.0,1110.0,1157.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
Agriwaste,588,570,551,545,529,515,588.0,570.0,551.0,545.0,529.0,515.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
Electricity,"1,803","1,956","2,204","2,303","2,430","2,627",1803.0,1956.0,2204.0,2303.0,2430.0,2627.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
Services,"3,397","3,370","3,865","4,404","4,668","4,936",3397.0,3370.0,3865.0,4404.0,4668.0,4936.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
Oil,"1,432","1,292","1,632","2,074","2,223","2,360",1432.0,1292.0,1632.0,2074.0,2223.0,2360.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
Diesel,"1,053",843,"1,058","1,397","1,568","1,706",1053.0,843.0,1058.0,1397.0,1568.0,1706.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
Fuel Oil,113,138,201,146,148,158,113.0,138.0,201.0,146.0,148.0,158.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
LPG,266,310,374,532,507,495,266.0,310.0,374.0,532.0,507.0,495.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
Biomass,332,337,340,345,350,353,332.0,337.0,340.0,345.0,350.0,353.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
Ricehull,7,6,6,7,7,7,7.0,6.0,6.0,7.0,7.0,7.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
Charcoal,162,164,166,168,171,172,162.0,164.0,166.0,168.0,171.0,172.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
Fuelwood,164,166,168,170,173,174,164.0,166.0,168.0,170.0,173.0,174.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
Biodiesel,20,14,21,28,30,33,20.0,14.0,21.0,28.0,30.0,33.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
Electricity,"1,613","1,727","1,872","1,958","2,065","2,191",1613.0,1727.0,1872.0,1958.0,2065.0,2191.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
Agriculture,354,401,450,515,439,473,354.0,401.0,450.0,515.0,439.0,473.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_048_p48.csv,biomass
