unnamed_0,2014,2015,2016,2017,2018,2019,2014_numeric,2015_numeric,2016_numeric,2017_numeric,2018_numeric,2019_numeric,2019_unit,source_pdf,detected_category
Fuelwood,"4,623","4,596","4,472","4,465","4,458","4,454",4623.0,4596.0,4472.0,4465.0,4458.0,4454.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_243_p66.csv,biomass
Charcoal,"1,107","1,138","1,193","1,236","1,281","1,329",1107.0,1138.0,1193.0,1236.0,1281.0,1329.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_243_p66.csv,biomass
Agriwaste,992,982,967,968,958,947,992.0,982.0,967.0,968.0,958.0,947.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_243_p66.csv,biomass
Bagasse,540,627,780,899,942,919,540.0,627.0,780.0,899.0,942.0,919.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_243_p66.csv,biomass
Ricehull,55,55,56,57,58,58,55.0,55.0,56.0,57.0,58.0,58.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_243_p66.csv,biomass
Animal Waste,20,21,21,21,21,22,20.0,21.0,21.0,21.0,21.0,22.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_243_p66.csv,biomass
Municipal Waste,19,11,5,6,6,7,19.0,11.0,5.0,6.0,6.0,7.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_243_p66.csv,biomass
Total,"7,356","7,431","7,494","7,651","7,725","7,736",7356.0,7431.0,7494.0,7651.0,7725.0,7736.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_243_p66.csv,biomass
,2020,2021,2022,2023,2024,AAGR*,2020.0,2021.0,2022.0,2023.0,2024.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_243_p66.csv,biomass
Fuelwood,"4,421","4,439","4,449","4,450","4,459",-0.4%,4421.0,4439.0,4449.0,4450.0,4459.0,-0.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_243_p66.csv,biomass
Charcoal,"1,364","1,420","1,476","1,531","1,592",3.7%,1364.0,1420.0,1476.0,1531.0,1592.0,3.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_243_p66.csv,biomass
Agriwaste,836,837,831,824,819,-1.9%,836.0,837.0,831.0,824.0,819.0,-1.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_243_p66.csv,biomass
Bagasse,877,959,908,947,961,5.9%,877.0,959.0,908.0,947.0,961.0,5.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_243_p66.csv,biomass
Ricehull,43,44,44,44,44,-2.1%,43.0,44.0,44.0,44.0,44.0,-2.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_243_p66.csv,biomass
Animal Waste,16,17,17,17,17,-1.9%,16.0,17.0,17.0,17.0,17.0,-1.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_243_p66.csv,biomass
Municipal Waste,5,4,7,5,7,-9.8%,5.0,4.0,7.0,5.0,7.0,-9.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_243_p66.csv,biomass
Total,"7,563","7,721","7,731","7,819","7,899",0.7%,7563.0,7721.0,7731.0,7819.0,7899.0,0.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_243_p66.csv,biomass
