electricity_generationeration,nan,nan_numeric,source_pdf,detected_category
,"3,811",3811.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_106_p41.csv,biomass
(GWh),,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_106_p41.csv,biomass
Biomass,,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_106_p41.csv,biomass
Installed Generating,,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_106_p41.csv,biomass
Capacity (MW),,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_106_p41.csv,biomass
Dependable Generating,,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_106_p41.csv,biomass
Capacity (MW),,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_106_p41.csv,biomass
Electricity Generation,,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_106_p41.csv,biomass
,"1,446",1446.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_106_p41.csv,biomass
(GWh),,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_106_p41.csv,biomass
