sector,co2_emission_mtcoe_2,nan,total_nonco2_emission_mtcoe_2,total_ghg_emission_mtcoe_2,total_ghg_emission_change,co2_emission_mtcoe_2_numeric,nan_numeric,total_nonco2_emission_mtcoe_2_numeric,total_ghg_emission_mtcoe_2_numeric,total_ghg_emission_change_numeric,source_pdf,detected_category
,2023,2024,2023,2023,2023-2024,2023.0,2024.0,2023.0,2023.0,,2024_philippine_energy_situationer_and_key_energy_statistics_table_018_p24.csv,coal
Oil,55.35,57.89,0.35,55.70,3.94,55.35,57.89,0.35,55.7,3.94,2024_philippine_energy_situationer_and_key_energy_statistics_table_018_p24.csv,coal
Coal,89.75,97.10,0.40,90.15,7.71,89.75,97.1,0.4,90.15,7.71,2024_philippine_energy_situationer_and_key_energy_statistics_table_018_p24.csv,coal
Gas,5.9,7.14,0.01,5.90,21.05,5.9,7.14,0.01,5.9,21.05,2024_philippine_energy_situationer_and_key_energy_statistics_table_018_p24.csv,coal
Total,150.99,162.13,0.76,151.75,6.84,150.99,162.13,0.76,151.75,6.84,2024_philippine_energy_situationer_and_key_energy_statistics_table_018_p24.csv,coal
% Distribution,,,,,"Change in
Distribution",,,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_018_p24.csv,coal
Oil,36.66,35.71,46.14,36.71,(1.00),36.66,35.71,46.14,36.71,-1.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_018_p24.csv,coal
Coal,59.44,59.89,53.10,59.41,0.48,59.44,59.89,53.1,59.41,0.48,2024_philippine_energy_situationer_and_key_energy_statistics_table_018_p24.csv,coal
Gas,3.9,4.41,0.76,3.89,0.52,3.9,4.41,0.76,3.89,0.52,2024_philippine_energy_situationer_and_key_energy_statistics_table_018_p24.csv,coal
Total,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,,2024_philippine_energy_situationer_and_key_energy_statistics_table_018_p24.csv,coal
