coal,29,29_numeric,source_pdf,detected_category
"Coal Production, by Source",29,29.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_072_p5.csv,coal
"Coal Importation, by Country of Source",31,31.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_072_p5.csv,coal
"Coal Exportation, by Country of Destination",33,33.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_072_p5.csv,coal
"Coal Consumption, by Major Type of User",35,35.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_072_p5.csv,coal
Renewable Energy Production,36,36.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_072_p5.csv,coal
"Biomass Production, by Fuel Type",36,36.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_072_p5.csv,coal
"Geothermal, Hydro, Wind, Solar and Biomass",38,38.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_072_p5.csv,coal
Power,40,40.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_072_p5.csv,coal
Installed Generating Capacity,40,40.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_072_p5.csv,coal
"Power Generation, by Source",42,42.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_072_p5.csv,coal
"Power Consumption, by Sector",46,46.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_072_p5.csv,coal
Regional Household Electrification Level,48,48.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_072_p5.csv,coal
Glossary,51,51.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_072_p5.csv,coal
Units of Measurement and Conversion Table,54,54.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_072_p5.csv,coal
