unnamed_0,nan,unnamed_0_numeric,source_pdf,detected_category
NON-NPC/IPP,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_002_p2.csv,general
"8,571,171",,8571171.0,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_002_p2.csv,general
"518,583",,518583.0,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_002_p2.csv,general
-,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_002_p2.csv,general
"518,583",,518583.0,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_002_p2.csv,general
-,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_002_p2.csv,general
-,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_002_p2.csv,general
-,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_002_p2.csv,general
"2,656,727",,2656727.0,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_002_p2.csv,general
"514,460",,514460.0,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_002_p2.csv,general
-,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_002_p2.csv,general
-,,,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_002_p2.csv,general
"514,460",,514460.0,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_002_p2.csv,general
"204,645",,204645.0,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_002_p2.csv,general
"719,676",,719676.0,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_002_p2.csv,general
"162,433",,162433.0,06_2024_lvm_grid_gross_generation_per_region_per_technology_and_per_ownershiprev_table_002_p2.csv,general
