source,2014,2015,2016,2017,2018,2019,2014_numeric,2015_numeric,2016_numeric,2017_numeric,2018_numeric,2019_numeric,source_pdf,detected_category
Middle East,"49,086","67,855","68,537","69,345","74,555","41,521",49086.0,67855.0,68537.0,69345.0,74555.0,41521.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_053_p53.csv,general
Saudi Arabia,"37,103","34,427","28,438","27,097","28,880","15,498",37103.0,34427.0,28438.0,27097.0,28880.0,15498.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_053_p53.csv,general
Kuwait (b),-,"16,877","26,448","24,475","22,589","15,925",,16877.0,26448.0,24475.0,22589.0,15925.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_053_p53.csv,general
UAE,"6,403","9,087","10,507","13,549","17,759","9,136",6403.0,9087.0,10507.0,13549.0,17759.0,9136.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_053_p53.csv,general
Qatar,"5,579","7,464","2,618","2,999","4,235",-,5579.0,7464.0,2618.0,2999.0,4235.0,,2024_philippine_energy_situationer_and_key_energy_statistics_table_053_p53.csv,general
Oman (c),-,-,524,"1,225","1,091",961,,,524.0,1225.0,1091.0,961.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_053_p53.csv,general
Indonesia (d),-,-,396,-,221,-,,,396.0,,221.0,,2024_philippine_energy_situationer_and_key_energy_statistics_table_053_p53.csv,general
Malaysia (e),"3,583","5,025","4,160",916,"3,215","4,085",3583.0,5025.0,4160.0,916.0,3215.0,4085.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_053_p53.csv,general
Others**,"12,194","5,031","5,544","7,255","7,669","15,061",12194.0,5031.0,5544.0,7255.0,7669.0,15061.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_053_p53.csv,general
Total,"64,862","77,911","78,637","77,516","85,660","60,666",64862.0,77911.0,78637.0,77516.0,85660.0,60666.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_053_p53.csv,general
